zone_id,symbol,generated_ts,zone_low,zone_high,zone_center,zone_size_bps,zone_volume,respected_strict_6h,respected_soft_6h,wicked_below_6h,wicked_above_6h,max_close_excursion_bps_6h,respected_strict_12h,respected_soft_12h,wicked_below_12h,wicked_above_12h,max_close_excursion_bps_12h,respected_strict_24h,respected_soft_24h,wicked_below_24h,wicked_above_24h,max_close_excursion_bps_24h
ETHUSDT_002497,ETHUSDT,2025-11-28T00:00:00,3150.62125,3209.5791666666664,3180.1002083333333,185.3964114469389,11256768.310518174,False,False,False,False,473.1965665914231,False,False,False,False,473.1965665914231,False,False,False,False,478.5108645357818
ETHUSDT_002498,ETHUSDT,2025-11-28T00:00:00,3386.452916666667,3445.4108333333334,3415.931875,172.59687494987372,9913140.36170108,False,False,False,False,1130.9151669386474,False,False,False,False,1130.9151669386474,False,False,False,False,1135.8625723959067
ETHUSDT_002499,ETHUSDT,2025-11-29T00:00:00,3007.041666666667,3117.625,3062.3333333333335,361.1080875149658,23676318.290925518,False,True,False,False,28.0559486230559,False,True,False,False,63.84565146402696,False,True,False,False,63.84565146402696
ETHUSDT_002500,ETHUSDT,2025-11-29T00:00:00,3172.916666666667,3228.208333333333,3200.5625,172.75609105170128,9958113.418910908,False,False,False,False,545.1125127744486,False,False,False,False,579.3564933247427,False,False,False,False,579.3564933247427
ETHUSDT_002501,ETHUSDT,2025-11-29T00:00:00,3394.083333333333,3449.375,3421.7291666666665,161.58983944521316,9332679.422349934,False,False,False,False,1156.2380131877762,False,False,False,False,1188.2686020104354,False,False,False,False,1188.2686020104354
ETHUSDT_002502,ETHUSDT,2025-11-30T00:00:00,2944.25,3106.375,3025.3125,535.8950521640327,34015534.8778647,True,True,False,False,0.0,True,True,False,False,0.0,False,False,False,False,394.8352442929443
ETHUSDT_002503,ETHUSDT,2025-11-30T00:00:00,3160.416666666667,3214.458333333333,3187.4375,169.54580808773835,10455810.763402704,False,False,False,False,497.75616515356535,False,False,False,False,497.75616515356535,False,False,False,False,1052.935678477356
ETHUSDT_002504,ETHUSDT,2025-12-01T00:00:00,2944.25,3106.375,3025.3125,535.8950521640327,35994374.1778647,False,False,False,False,356.2276624315669,False,False,False,False,676.5251523602936,False,False,False,False,676.5251523602936
ETHUSDT_002505,ETHUSDT,2025-12-01T00:00:00,3160.416666666667,3214.458333333333,3187.4375,169.54580808773835,10455810.763402704,False,False,False,False,1016.2918227154789,False,False,False,False,1320.2977836166735,False,False,False,False,1320.2977836166735
ETHUSDT_002506,ETHUSDT,2025-12-02T00:00:00,2944.25,3052.333333333333,2998.2916666666665,360.48305284953835,27404211.22498835,False,False,False,False,467.0993204463659,False,False,False,False,467.0993204463659,False,False,False,False,467.0993204463659
ETHUSDT_002507,ETHUSDT,2025-12-02T00:00:00,3160.416666666667,3214.458333333333,3187.4375,169.54580808773835,10455810.763402704,False,False,False,False,1117.5643966875184,False,False,False,False,1117.5643966875184,False,False,False,False,1117.5643966875184
ETHUSDT_002508,ETHUSDT,2025-12-02T00:00:00,2782.125,2836.166666666666,2809.145833333333,192.37757622052754,9662332.459191365,False,True,True,False,0.0,False,False,True,False,635.2227471280592,False,False,True,False,839.3417334747381
ETHUSDT_002509,ETHUSDT,2025-12-03T00:00:00,2943.335,3051.1133333333332,2997.224166666667,359.59383529593583,29786246.939824123,False,True,False,False,69.51988075633288,False,False,False,False,252.45581397676673,False,False,False,False,525.3416425031058
ETHUSDT_002510,ETHUSDT,2025-12-03T00:00:00,2781.6675,2835.556666666667,2808.6120833333334,191.87116293649842,11145968.950933764,False,False,False,False,841.6731336310968,False,False,False,False,1036.894112438988,False,False,False,False,1328.1055634092104
ETHUSDT_002511,ETHUSDT,2025-12-03T00:00:00,3158.891666666667,3212.7808333333337,3185.8362500000003,169.15234317729548,10470347.97162133,False,False,False,False,321.67901494204864,False,False,False,False,321.67901494204864,False,False,False,True,321.67901494204864
ETHUSDT_002512,ETHUSDT,2025-12-04T00:00:00,2966.0,3095.75,3030.875,428.0941972202747,36389528.56267184,False,False,False,False,307.7329154122159,False,False,False,False,365.6039922464633,False,False,False,False,365.6039922464633
ETHUSDT_002513,ETHUSDT,2025-12-04T00:00:00,2793.0,2836.25,2814.625,153.6616778434072,9531667.2247085,False,False,False,False,1253.3463605276013,False,False,False,False,1315.6637207443264,False,False,False,False,1315.6637207443264
ETHUSDT_002514,ETHUSDT,2025-12-05T00:00:00,2966.0,3052.5,3009.25,287.4470382985794,27359878.24228835,False,False,False,False,398.67076514081515,False,False,False,False,398.67076514081515,False,False,False,False,398.67076514081515
ETHUSDT_002515,ETHUSDT,2025-12-05T00:00:00,3182.25,3225.5,3203.875,134.99278217783151,9880048.08873668,False,True,False,False,163.0837657524092,False,False,False,False,453.07635285396543,False,False,False,False,505.23194569076475
ETHUSDT_002516,ETHUSDT,2025-12-05T00:00:00,2793.0,2836.25,2814.625,153.6616778434072,9531667.2247085,False,False,False,False,1194.5463427632449,False,False,False,False,1194.5463427632449,False,False,False,False,1194.5463427632449
ETHUSDT_002517,ETHUSDT,2025-12-06T00:00:00,2966.0,3052.5,3009.25,287.4470382985794,28798310.826146554,True,True,False,False,0.0,False,True,False,True,0.0,False,True,False,False,0.2658469718365946
ETHUSDT_002518,ETHUSDT,2025-12-06T00:00:00,3095.75,3182.25,3139.0,275.56546670914304,20543302.90606892,False,False,False,False,225.45396623128377,False,False,False,False,225.45396623128377,False,False,False,False,225.45396623128377
