offset_bps,patience_bars,maker_fee_bps,taker_fee_bps,taker_slip_bps,queue_mult,n_sampled,skipped,fill_rate,avg_rt_bps,trade_win_rate,trade_pf,sharpe_daily_interp,annualized_return_interp
1.0,5,2.0,4.0,2.0,10.0,4518,0,0.5954515272244356,11.149764100159931,0.2505533421868083,0.3437708749984191,1.1732880961831447,0.21128257552032387
2.0,1,0.0,4.0,2.0,1.0,4518,0,0.4225874280655157,13.10201986482991,0.24878264718902168,0.29143092494354406,1.1246911744299612,0.20097405697490894
2.0,1,0.0,4.0,2.0,10.0,4518,0,0.4225874280655157,13.10201986482991,0.24878264718902168,0.29143092494354406,1.1246911744299612,0.20097405697490894
2.0,1,0.5,4.0,2.0,1.0,4518,0,0.4225874280655157,13.947194720960944,0.233510402833112,0.26973403211315256,1.1036565438732207,0.19652824277265168
2.0,1,0.5,4.0,2.0,10.0,4518,0,0.4225874280655157,13.947194720960944,0.233510402833112,0.26973403211315256,1.1036565438732207,0.19652824277265168
2.0,1,1.0,4.0,2.0,1.0,4518,0,0.4225874280655157,14.792369577091975,0.2222222222222222,0.25023230150006254,1.082630708046744,0.19211864796810924
2.0,1,1.0,4.0,2.0,10.0,4518,0,0.4225874280655157,14.792369577091975,0.2222222222222222,0.25023230150006254,1.082630708046744,0.19211864796810924
2.0,1,2.0,4.0,2.0,1.0,4518,0,0.4225874280655157,16.48271928935404,0.20252324037184594,0.21660210333189533,1.0405856054991427,0.18332615993061574
2.0,1,2.0,4.0,2.0,10.0,4518,0,0.4225874280655157,16.48271928935404,0.20252324037184594,0.21660210333189533,1.0405856054991427,0.18332615993061574
2.0,2,0.0,4.0,2.0,1.0,4518,0,0.48367640548915447,12.01989510619294,0.2682602921646746,0.3257770218411838,1.1516229913777924,0.206666282182111
2.0,2,0.0,4.0,2.0,10.0,4518,0,0.48367640548915447,12.01989510619294,0.2682602921646746,0.3257770218411838,1.1516229913777924,0.206666282182111
2.0,2,0.5,4.0,2.0,1.0,4518,0,0.48367640548915447,12.987247917171251,0.24856131031429837,0.29805453803130894,1.1275476076280913,0.20157778382648306
2.0,2,0.5,4.0,2.0,10.0,4518,0,0.48367640548915447,12.987247917171251,0.24856131031429837,0.29805453803130894,1.1275476076280913,0.20157778382648306
2.0,2,1.0,4.0,2.0,1.0,4518,0,0.48367640548915447,13.95460072814956,0.234174413457282,0.2734971170959584,1.1034722238783898,0.19648928547085512
2.0,2,1.0,4.0,2.0,10.0,4518,0,0.48367640548915447,13.95460072814956,0.234174413457282,0.2734971170959584,1.1034722238783898,0.19648928547085512
2.0,2,2.0,4.0,2.0,1.0,4518,0,0.48367640548915447,15.889306350106176,0.2104913678618858,0.23197176736912092,1.0553424263155116,0.18639864939241246
2.0,2,2.0,4.0,2.0,10.0,4518,0,0.48367640548915447,15.889306350106176,0.2104913678618858,0.23197176736912092,1.0553424263155116,0.18639864939241246
2.0,5,0.0,4.0,2.0,1.0,4518,0,0.5481961044710049,10.765082940614144,0.29459938025675075,0.37178287715953656,1.182866242353075,0.21332382442565126
2.0,5,0.0,4.0,2.0,10.0,4518,0,0.5481961044710049,10.765082940614144,0.29459938025675075,0.37178287715953656,1.182866242353075,0.21332382442565126
2.0,5,0.5,4.0,2.0,1.0,4518,0,0.5481961044710049,11.861475149556155,0.26980965028773796,0.33588450325689606,1.1555672583081615,0.20750599493029753
2.0,5,0.5,4.0,2.0,10.0,4518,0,0.5481961044710049,11.861475149556155,0.26980965028773796,0.33588450325689606,1.1555672583081615,0.20750599493029753
2.0,5,1.0,4.0,2.0,1.0,4518,0,0.5481961044710049,12.957867358498167,0.2481186365648517,0.3046131560181232,1.1282788281474379,0.20173233232502333
2.0,5,1.0,4.0,2.0,10.0,4518,0,0.5481961044710049,12.957867358498167,0.2481186365648517,0.3046131560181232,1.1282788281474379,0.20173233232502333
2.0,5,2.0,4.0,2.0,1.0,4518,0,0.5481961044710049,15.150651776382185,0.22177954847277556,0.2526966181965479,1.07371779179301,0.19025037832845976
2.0,5,2.0,4.0,2.0,10.0,4518,0,0.5481961044710049,15.150651776382185,0.22177954847277556,0.2526966181965479,1.07371779179301,0.19025037832845976
