variant,symbol,direction,entry_ts,entry_price,exit_ts,exit_price,pnl_pct,bars_held,exit_reason,break_state_at_entry,vah_at_entry,val_at_entry,poc_distance_atr_at_entry
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-09-29 00:38:00+00:00,65784.5,2024-09-29 00:41:00+00:00,65737.3,-0.00028250575743526875,3,take_profit,-1,65852.05833333333,65450.00833333333,7.438174763832244
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-09-29 02:16:00+00:00,65817.4,2024-09-29 02:17:00+00:00,65846.3,-0.0014390936135429957,1,hard_stop,-1,65852.05833333333,65450.00833333333,4.585596748611031
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-09-29 02:32:00+00:00,65848.6,2024-09-29 02:34:00+00:00,65822.5,-0.0006036362200562131,2,take_profit,-1,65852.05833333333,65483.5125,5.774873142442436
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-09-29 02:51:00+00:00,65842.0,2024-09-29 02:53:00+00:00,65828.4,-0.0007934449135809088,2,take_profit,-1,65852.05833333333,65483.5125,8.134891598914464
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-09-29 02:58:00+00:00,65800.0,2024-09-29 03:00:00+00:00,65788.5,-0.0008252279635257978,2,take_profit,-1,65852.05833333333,65483.5125,4.91857489223919
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-09-29 13:20:00+00:00,65722.0,2024-09-29 13:28:00+00:00,65693.0,-0.0005587474513861759,8,take_profit,-1,65754.40000000001,65475.85,0.9448064770933419
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-09-29 14:03:00+00:00,65747.4,2024-09-29 14:04:00+00:00,65701.4,-0.0003003525614700955,1,take_profit,-1,65754.40000000001,65475.85,2.9340349075978867
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-09-29 15:19:00+00:00,65701.9,2024-09-29 15:26:00+00:00,65649.9,-0.00020854648039092451,7,take_profit,-1,65754.40000000001,65475.85,0.16079215116279363
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-09-29 17:51:00+00:00,65800.1,2024-09-29 17:52:00+00:00,65781.9,-0.0007234046756765524,1,take_profit,-1,65800.82500000001,65499.0625,7.745266666666935
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-09-29 17:58:00+00:00,65786.2,2024-09-29 18:01:00+00:00,65772.0,-0.0007841492592671742,3,take_profit,-1,65800.82500000001,65499.0625,5.926661168709445
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-09-29 20:13:00+00:00,65841.4,2024-09-29 20:14:00+00:00,65893.4,-0.0017897766450895016,1,breakout_resume_up,-1,65842.92083333334,65491.21666666667,3.253201588303115
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-09-29 20:21:00+00:00,65855.5,2024-09-29 20:25:00+00:00,65811.5,-0.0003318705347313813,4,take_profit,-1,65897.02916666667,65545.325,4.35481720637345
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-09-29 21:28:00+00:00,65866.1,2024-09-29 21:29:00+00:00,65830.4,-0.0004579912883864159,1,take_profit,-1,65875.575,65536.00416666667,7.402196020228746
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-09-29 21:34:00+00:00,65803.0,2024-09-29 21:35:00+00:00,65776.7,-0.0006003221737610467,1,take_profit,-1,65927.81666666667,65588.24583333333,4.1568290572182764
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-10-01 06:43:00+00:00,63884.6,2024-10-01 06:47:00+00:00,63933.4,-0.0017638773663762866,4,hard_stop,-1,63911.45833333333,63170.916666666664,10.718130518074094
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-10-01 07:18:00+00:00,63911.0,2024-10-01 07:25:00+00:00,63978.0,-0.0020483328378525503,7,hard_stop,-1,64028.833333333336,63307.5,4.657441726381732
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-10-01 07:46:00+00:00,64002.1,2024-10-01 07:49:00+00:00,64008.0,-0.001092184475196877,3,breakout_resume_up,-1,64004.76666666667,63298.475,8.106786249901525
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-10-01 09:16:00+00:00,64009.6,2024-10-01 09:17:00+00:00,64043.7,-0.00153273259011144,1,breakout_resume_up,-1,64014.3,63392.7,15.725631768952603
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-10-01 09:22:00+00:00,63977.7,2024-10-01 09:26:00+00:00,64030.0,-0.0018174723380178772,4,hard_stop,-1,64014.3,63392.7,13.917261758187088
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-10-02 15:37:00+00:00,61793.0,2024-10-02 15:40:00+00:00,61710.7,0.0003318660689722872,3,take_profit,-1,61832.475,60664.73333333333,5.644792529211511
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-10-02 15:46:00+00:00,61773.6,2024-10-02 15:48:00+00:00,61890.0,-0.0028843000893586926,2,hard_stop,-1,61795.7875,60654.95,6.442300724637472
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-10-02 15:53:00+00:00,61793.1,2024-10-02 15:58:00+00:00,61804.5,-0.0011844866174378623,5,breakout_resume_up,-1,61795.7875,60654.95,6.282044773232669
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-10-02 16:40:00+00:00,61913.4,2024-10-02 16:46:00+00:00,61849.8,2.724127571729438e-05,6,take_profit,-1,61930.525,60803.575,8.173383797054132
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-10-03 23:02:00+00:00,60845.9,2024-10-03 23:03:00+00:00,60855.7,-0.001161062618845298,1,breakout_resume_up,-1,60850.3625,60068.3125,7.855619778511838
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-10-03 23:08:00+00:00,60834.3,2024-10-03 23:09:00+00:00,60786.2,-0.00020932763260195133,1,take_profit,-1,60850.3625,60068.3125,6.314493166286873
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-10-04 14:18:00+00:00,61352.2,2024-10-04 14:22:00+00:00,61207.0,0.0013666632981376168,4,take_profit,-1,61559.15,60311.7125,0.010729742726486437
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-10-04 15:18:00+00:00,61633.3,2024-10-04 15:20:00+00:00,61536.1,0.0005770695387071765,2,take_profit,-1,61642.3125,60561.200000000004,2.9759495817318244
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-10-04 15:25:00+00:00,61549.9,2024-10-04 15:30:00+00:00,61458.2,0.0004898480744892639,5,take_profit,-1,61642.3125,60561.200000000004,2.4372863903250543
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-10-04 15:50:00+00:00,61561.9,2024-10-04 15:53:00+00:00,61725.0,-0.003649365922754221,3,hard_stop,-1,61725.475000000006,60644.3625,0.6755605747250961
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-10-04 16:07:00+00:00,61770.6,2024-10-04 16:08:00+00:00,61700.1,0.0001413196569242112,1,take_profit,-1,61808.637500000004,60727.525,5.967718160377201
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-10-04 16:20:00+00:00,61799.9,2024-10-04 16:21:00+00:00,61817.4,-0.001283171979242658,1,breakout_resume_up,-1,61808.637500000004,60727.525,4.520399702653171
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-10-05 02:44:00+00:00,61934.1,2024-10-05 02:47:00+00:00,61896.0,-0.0003848300047953881,3,take_profit,-1,61954.075000000004,60863.275,42.867402315487816
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-10-05 05:14:00+00:00,62057.4,2024-10-05 05:20:00+00:00,62106.4,-0.0017895915716740199,6,breakout_resume_up,-1,62090.425,61135.975,17.812514551805073
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-10-05 05:48:00+00:00,62097.5,2024-10-05 05:51:00+00:00,62077.5,-0.000677925842425208,3,take_profit,-1,62158.600000000006,61204.15,32.02759360374306
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-10-05 05:56:00+00:00,62099.3,2024-10-05 06:01:00+00:00,62082.4,-0.0007278552254211803,5,take_profit,-1,62158.600000000006,61204.15,35.246362858367135
