symbol,direction,entry_signal_date,entry_fill_date,entry_price,exit_signal_date,exit_fill_date,exit_price,reason,pnl_usd,pnl_pct,bars_held,pcr_z_at_entry,poc_distance_atr_at_entry,size_units,nav_at_entry
ETHUSDT,short,2025-03-31 08:00:00,2025-03-31 08:00:00,1841.37,2025-04-04 08:00:00,2025-04-04 08:00:00,1794.47,time_stop,242.7017,0.02427,12,1.7165,0.5688,1.0,100000.0
ETHUSDT,short,2025-04-19 00:00:00,2025-04-19 00:00:00,1600.27,2025-04-22 08:00:00,2025-04-22 08:00:00,1702.41,hard_stop,-650.2673,-0.065027,10,2.4644,0.5518,1.0,100000.0
ETHUSDT,long,2025-05-02 00:00:00,2025-05-02 00:00:00,1815.3,2025-05-06 00:00:00,2025-05-06 00:00:00,1805.0,time_stop,-68.7399,-0.006874,12,-2.1844,0.3299,1.0,100000.0
ETHUSDT,short,2025-06-07 00:00:00,2025-06-07 00:00:00,2490.21,2025-06-09 16:00:00,2025-06-09 16:00:00,2679.12,hard_stop,-770.6107,-0.077061,8,2.0752,0.3595,1.0,100000.0
ETHUSDT,short,2025-06-15 08:00:00,2025-06-15 08:00:00,2540.79,2025-06-19 08:00:00,2025-06-19 08:00:00,2491.89,time_stop,180.4598,0.018046,12,1.7177,0.159,1.0,100000.0
ETHUSDT,short,2025-06-19 16:00:00,2025-06-19 16:00:00,2520.18,2025-06-21 16:00:00,2025-06-21 16:00:00,2294.63,take_profit,882.9758,0.088298,6,1.9442,0.0505,1.0,100000.0
ETHUSDT,short,2025-06-26 00:00:00,2025-06-26 00:00:00,2489.0,2025-06-30 00:00:00,2025-06-30 00:00:00,2479.63,time_stop,25.6456,0.002565,12,1.6021,0.4457,1.0,100000.0
ETHUSDT,long,2025-07-07 08:00:00,2025-07-07 08:00:00,2532.56,2025-07-09 16:00:00,2025-07-09 16:00:00,2767.7,take_profit,916.4676,0.091647,7,-1.5344,0.5553,1.0,100000.0
ETHUSDT,long,2025-07-28 08:00:00,2025-07-28 08:00:00,3806.09,2025-08-01 08:00:00,2025-08-01 08:00:00,3614.49,hard_stop,-515.4038,-0.05154,12,-1.7687,0.6251,1.0,100000.0
ETHUSDT,long,2025-09-06 08:00:00,2025-09-06 08:00:00,4267.68,2025-09-10 08:00:00,2025-09-10 08:00:00,4403.5,time_stop,306.2525,0.030625,12,-1.6377,0.3969,1.0,100000.0
ETHUSDT,long,2025-10-04 08:00:00,2025-10-04 08:00:00,4453.13,2025-10-08 08:00:00,2025-10-08 08:00:00,4445.11,time_stop,-30.0098,-0.003001,12,-1.7523,0.3098,1.0,100000.0
ETHUSDT,short,2025-11-02 16:00:00,2025-11-02 16:00:00,3904.8,2025-11-03 08:00:00,2025-11-03 08:00:00,3587.38,take_profit,800.8969,0.08009,2,2.6758,0.2529,1.0,100000.0
ETHUSDT,long,2025-11-29 16:00:00,2025-11-29 16:00:00,2987.96,2025-12-01 00:00:00,2025-12-01 00:00:00,2838.44,hard_stop,-512.4083,-0.051241,4,-2.3144,0.6053,1.0,100000.0
