symbol,direction,entry_signal_date,entry_fill_date,entry_price,exit_signal_date,exit_fill_date,exit_price,reason,pnl_usd,pnl_pct,bars_held,macro_proximity_at_entry,poc_distance_atr_at_entry,size_units,nav_at_entry
BTCUSDT,short,2023-06-08 20:00:00,2023-06-08 20:00:00,26485.9,2023-06-10 12:00:00,2023-06-10 12:00:00,25620.0,take_profit,314.9287,0.031493,10,-30,0.7639,1.0,100000.0
BTCUSDT,short,2023-06-17 04:00:00,2023-06-17 04:00:00,26587.6,2023-06-20 12:00:00,2023-06-20 12:00:00,27054.2,hard_stop,-187.4953,-0.01875,20,18,0.661,1.0,100000.0
BTCUSDT,long,2023-07-04 16:00:00,2023-07-04 16:00:00,30685.3,2023-07-06 00:00:00,2023-07-06 00:00:00,30477.7,macro_regime_off,-79.6545,-0.007965,8,-18,0.2505,1.0,100000.0
BTCUSDT,short,2023-07-08 00:00:00,2023-07-08 00:00:00,30260.0,2023-07-10 16:00:00,2023-07-10 16:00:00,30824.5,hard_stop,-198.5499,-0.019855,16,6,0.1835,1.0,100000.0
BTCUSDT,short,2023-07-13 00:00:00,2023-07-13 00:00:00,30283.7,2023-07-13 12:00:00,2023-07-13 12:00:00,30915.4,hard_stop,-220.5941,-0.022059,3,6,0.1568,1.0,100000.0
BTCUSDT,short,2023-07-14 20:00:00,2023-07-14 20:00:00,30293.3,2023-07-24 00:00:00,2023-07-24 00:00:00,29705.6,take_profit,182.0033,0.0182,55,12,0.1243,1.0,100000.0
BTCUSDT,short,2023-08-05 00:00:00,2023-08-05 00:00:00,29082.6,2023-08-08 08:00:00,2023-08-08 08:00:00,29428.0,hard_stop,-130.7652,-0.013077,20,6,0.6712,1.0,100000.0
BTCUSDT,long,2023-08-09 16:00:00,2023-08-09 16:00:00,29404.2,2023-08-10 00:00:00,2023-08-10 00:00:00,29568.9,macro_regime_off,44.0124,0.004401,2,-6,0.5661,1.0,100000.0
BTCUSDT,long,2023-08-11 12:00:00,2023-08-11 12:00:00,29383.0,2023-08-16 12:00:00,2023-08-16 12:00:00,29098.0,hard_stop,-108.9949,-0.010899,30,6,0.7741,1.0,100000.0
BTCUSDT,long,2023-08-27 08:00:00,2023-08-27 08:00:00,26049.0,2023-08-29 12:00:00,2023-08-29 12:00:00,27411.4,take_profit,511.0143,0.051101,13,12,0.1916,1.0,100000.0
BTCUSDT,long,2023-08-31 16:00:00,2023-08-31 16:00:00,26148.7,2023-09-01 00:00:00,2023-09-01 00:00:00,26071.5,macro_regime_off,-41.5235,-0.004152,2,-6,0.2515,1.0,100000.0
BTCUSDT,short,2023-09-02 08:00:00,2023-09-02 08:00:00,25800.1,2023-09-07 20:00:00,2023-09-07 20:00:00,26240.7,hard_stop,-182.7745,-0.018277,33,6,0.7715,1.0,100000.0
BTCUSDT,short,2023-09-09 04:00:00,2023-09-09 04:00:00,25871.0,2023-09-11 12:00:00,2023-09-11 12:00:00,25102.5,take_profit,285.0508,0.028505,14,-24,0.5785,1.0,100000.0
BTCUSDT,short,2023-09-12 20:00:00,2023-09-12 20:00:00,25825.8,2023-09-13 00:00:00,2023-09-13 00:00:00,25868.4,macro_regime_off,-28.4951,-0.00285,1,-6,0.5412,1.0,100000.0
BTCUSDT,long,2023-09-15 12:00:00,2023-09-15 12:00:00,26311.1,2023-09-18 08:00:00,2023-09-18 08:00:00,27184.7,take_profit,320.0272,0.032003,17,12,0.643,1.0,100000.0
BTCUSDT,long,2023-09-27 16:00:00,2023-09-27 16:00:00,26258.6,2023-09-28 00:00:00,2023-09-28 00:00:00,26363.8,macro_regime_off,28.0631,0.002806,2,-12,0.0796,1.0,100000.0
BTCUSDT,short,2023-10-07 20:00:00,2023-10-07 20:00:00,27943.0,2023-10-11 00:00:00,2023-10-11 00:00:00,27000.7,macro_regime_off,325.2222,0.032522,19,6,0.0546,1.0,100000.0
BTCUSDT,long,2023-10-17 00:00:00,2023-10-17 00:00:00,28259.9,2023-10-20 08:00:00,2023-10-20 08:00:00,29829.9,take_profit,543.5575,0.054356,20,30,0.6532,1.0,100000.0
BTCUSDT,long,2023-11-05 12:00:00,2023-11-05 12:00:00,34893.9,2023-11-09 00:00:00,2023-11-09 00:00:00,36455.5,take_profit,435.5281,0.043553,21,12,0.6792,1.0,100000.0
BTCUSDT,long,2023-11-22 12:00:00,2023-11-22 12:00:00,36480.5,2023-11-24 12:00:00,2023-11-24 12:00:00,38217.3,take_profit,464.09,0.046409,12,48,0.151,1.0,100000.0
BTCUSDT,long,2023-11-26 16:00:00,2023-11-26 16:00:00,37360.0,2023-11-27 12:00:00,2023-11-27 12:00:00,36743.2,hard_stop,-177.0964,-0.01771,5,-24,0.4477,1.0,100000.0
BTCUSDT,short,2023-12-19 00:00:00,2023-12-19 00:00:00,43100.1,2023-12-21 00:00:00,2023-12-21 00:00:00,43678.6,macro_regime_off,-146.2224,-0.014622,12,-18,0.9131,1.0,100000.0
BTCUSDT,short,2023-12-23 00:00:00,2023-12-23 00:00:00,43543.2,2024-01-02 00:00:00,2024-01-02 00:00:00,45435.0,hard_stop,-446.4651,-0.044647,60,6,0.3694,1.0,100000.0
BTCUSDT,short,2024-01-03 08:00:00,2024-01-03 08:00:00,43728.9,2024-01-05 00:00:00,2024-01-05 00:00:00,43469.1,macro_regime_off,47.4115,0.004741,10,-12,0.1329,1.0,100000.0
BTCUSDT,long,2024-01-06 08:00:00,2024-01-06 08:00:00,43669.2,2024-01-08 16:00:00,2024-01-08 16:00:00,47006.7,take_profit,752.2686,0.075227,14,6,0.0393,1.0,100000.0
BTCUSDT,long,2024-01-12 12:00:00,2024-01-12 12:00:00,44495.1,2024-01-13 08:00:00,2024-01-13 08:00:00,42631.9,hard_stop,-430.7427,-0.043074,5,6,0.5945,1.0,100000.0
BTCUSDT,short,2024-01-16 12:00:00,2024-01-16 12:00:00,43251.7,2024-01-18 16:00:00,2024-01-18 16:00:00,41014.2,take_profit,505.3207,0.050532,13,30,0.7342,1.0,100000.0
BTCUSDT,short,2024-01-28 04:00:00,2024-01-28 04:00:00,42369.9,2024-01-29 20:00:00,2024-01-29 20:00:00,43287.7,hard_stop,-228.616,-0.022862,10,12,0.8628,1.0,100000.0
BTCUSDT,short,2024-02-01 04:00:00,2024-02-01 04:00:00,42182.2,2024-02-02 00:00:00,2024-02-02 00:00:00,43018.1,macro_regime_off,-210.1642,-0.021016,5,6,0.9396,1.0,100000.0
BTCUSDT,long,2024-02-03 08:00:00,2024-02-03 08:00:00,42978.0,2024-02-08 00:00:00,2024-02-08 00:00:00,44523.6,take_profit,347.6259,0.034763,28,6,0.408,1.0,100000.0
BTCUSDT,long,2024-02-22 08:00:00,2024-02-22 08:00:00,51659.2,2024-02-26 16:00:00,2024-02-26 16:00:00,54531.3,take_profit,543.9707,0.054397,26,-42,0.0774,1.0,100000.0
BTCUSDT,short,2024-03-18 12:00:00,2024-03-18 12:00:00,67509.2,2024-03-19 00:00:00,2024-03-19 00:00:00,65930.5,macro_regime_off,221.8496,0.022185,3,-12,0.4304,1.0,100000.0
BTCUSDT,short,2024-03-21 00:00:00,2024-03-21 00:00:00,66707.8,2024-03-25 12:00:00,2024-03-25 12:00:00,69844.6,hard_stop,-482.2299,-0.048223,27,6,0.683,1.0,100000.0
BTCUSDT,long,2024-04-02 00:00:00,2024-04-02 00:00:00,66734.1,2024-04-04 00:00:00,2024-04-04 00:00:00,65637.2,macro_regime_off,-176.3687,-0.017637,12,-18,0.0195,1.0,100000.0
BTCUSDT,short,2024-04-06 00:00:00,2024-04-06 00:00:00,67793.3,2024-04-07 08:00:00,2024-04-07 08:00:00,69366.1,hard_stop,-243.9993,-0.0244,8,6,0.4609,1.0,100000.0
BTCUSDT,long,2024-04-12 12:00:00,2024-04-12 12:00:00,69374.1,2024-04-12 16:00:00,2024-04-12 16:00:00,66867.5,hard_stop,-373.3164,-0.037332,1,12,0.0417,1.0,100000.0
BTCUSDT,long,2024-04-14 16:00:00,2024-04-14 16:00:00,64146.0,2024-04-17 12:00:00,2024-04-17 12:00:00,60272.0,hard_stop,-615.9348,-0.061593,17,24,0.127,1.0,100000.0
BTCUSDT,long,2024-04-19 16:00:00,2024-04-19 16:00:00,64307.2,2024-04-24 08:00:00,2024-04-24 08:00:00,66550.7,take_profit,336.8723,0.033687,28,-42,0.1114,1.0,100000.0
BTCUSDT,short,2024-04-28 00:00:00,2024-04-28 00:00:00,63989.8,2024-04-30 00:00:00,2024-04-30 00:00:00,63627.1,macro_regime_off,44.6809,0.004468,12,12,0.1232,1.0,100000.0
BTCUSDT,short,2024-05-04 00:00:00,2024-05-04 00:00:00,62698.1,2024-05-05 12:00:00,2024-05-05 12:00:00,64398.0,hard_stop,-283.1246,-0.028312,9,6,0.7999,1.0,100000.0
BTCUSDT,short,2024-05-06 20:00:00,2024-05-06 20:00:00,63142.8,2024-05-12 04:00:00,2024-05-12 04:00:00,60803.8,take_profit,358.4302,0.035843,32,18,0.5967,1.0,100000.0
BTCUSDT,short,2024-05-13 12:00:00,2024-05-13 12:00:00,62980.5,2024-05-14 00:00:00,2024-05-14 00:00:00,62464.8,macro_regime_off,69.8825,0.006988,3,-12,0.9668,1.0,100000.0
BTCUSDT,long,2024-06-01 00:00:00,2024-06-01 00:00:00,67749.9,2024-06-03 12:00:00,2024-06-03 12:00:00,69650.0,take_profit,268.458,0.026846,15,6,0.705,1.0,100000.0
BTCUSDT,long,2024-06-10 08:00:00,2024-06-10 08:00:00,69506.7,2024-06-11 00:00:00,2024-06-11 00:00:00,68472.3,macro_regime_off,-160.8202,-0.016082,4,-12,0.8673,1.0,100000.0
BTCUSDT,long,2024-06-13 00:00:00,2024-06-13 00:00:00,67471.1,2024-06-14 16:00:00,2024-06-14 16:00:00,65514.9,hard_stop,-301.9315,-0.030193,10,6,0.1519,1.0,100000.0
BTCUSDT,short,2024-07-03 00:00:00,2024-07-03 00:00:00,60983.5,2024-07-04 20:00:00,2024-07-04 20:00:00,57045.9,take_profit,633.6828,0.063368,11,-12,0.1595,1.0,100000.0
BTCUSDT,short,2024-07-12 00:00:00,2024-07-12 00:00:00,56887.6,2024-07-13 08:00:00,2024-07-13 08:00:00,58513.9,hard_stop,-297.8795,-0.029788,8,6,0.382,1.0,100000.0
BTCUSDT,short,2024-07-18 00:00:00,2024-07-18 00:00:00,64827.8,2024-07-19 16:00:00,2024-07-19 16:00:00,67107.8,hard_stop,-363.701,-0.03637,10,42,0.0798,1.0,100000.0
BTCUSDT,long,2024-08-04 20:00:00,2024-08-04 20:00:00,58144.5,2024-08-05 00:00:00,2024-08-05 00:00:00,53864.1,hard_stop,-748.1659,-0.074817,1,12,0.7024,1.0,100000.0
BTCUSDT,short,2024-08-15 00:00:00,2024-08-15 00:00:00,58420.0,2024-08-18 08:00:00,2024-08-18 08:00:00,59991.3,hard_stop,-280.9661,-0.028097,20,6,0.7688,1.0,100000.0
BTCUSDT,short,2024-08-19 16:00:00,2024-08-19 16:00:00,58933.0,2024-08-20 00:00:00,2024-08-20 00:00:00,60588.6,hard_stop,-292.9292,-0.029293,2,30,0.5062,1.0,100000.0
BTCUSDT,long,2024-08-21 08:00:00,2024-08-21 08:00:00,59332.4,2024-08-23 16:00:00,2024-08-23 16:00:00,63577.2,take_profit,703.427,0.070343,14,42,0.0411,1.0,100000.0
