pair,direction,entry_ts,entry_price_a,entry_price_b,exit_ts,exit_price_a,exit_price_b,pnl_pct,bars_held,z_at_entry,z_at_exit,slope15m_at_entry,trend2h_at_entry,exit_reason,gross_pct
BTCUSDT/SOLUSDT,short_a_long_b,2025-03-07T23:30:00,86570.0,138.31,2025-03-08T00:55:00,86752.0,140.43,0.012425541708296484,86,2.7552675427578435,0.47747062186307215,,0,z_mean_revert,0.013225541708296484
BTCUSDT/SOLUSDT,short_a_long_b,2025-03-08T11:48:00,85755.6,136.74,2025-03-08T12:23:00,86129.6,137.88,0.0031757586879689556,36,2.5262968869685345,0.4971213615642165,,0,z_mean_revert,0.0039757586879689555
BTCUSDT/SOLUSDT,short_a_long_b,2025-03-09T13:45:00,84182.4,133.74,2025-03-09T14:10:00,83082.4,132.85,0.005612161177310915,26,2.5968262958470385,0.43887488436628996,,0,z_mean_revert,0.0064121611773109155
BTCUSDT/SOLUSDT,short_a_long_b,2025-03-09T16:00:00,82953.4,130.02,2025-03-09T19:01:00,82758.9,128.15,-0.012837712797037137,182,2.5068544297072166,0.45721449648431806,,0,z_mean_revert,-0.012037712797037137
BTCUSDT/SOLUSDT,short_a_long_b,2025-03-10T14:15:00,80051.7,122.23,2025-03-10T16:53:00,79192.8,120.69,-0.002669882053420757,159,2.8886583677592528,0.44806178016560366,,0,z_mean_revert,-0.0018698820534207572
BTCUSDT/SOLUSDT,short_a_long_b,2025-03-10T17:45:00,78765.0,117.69,2025-03-10T18:09:00,78259.4,118.27,0.010547295982158,25,2.5481620539146776,0.49491991147021175,,0,z_mean_revert,0.011347295982158001
BTCUSDT/SOLUSDT,long_a_short_b,2025-03-11T05:56:00,80260.1,123.64,2025-03-11T07:42:00,80230.1,122.83,0.005377493171202308,107,-2.8406196628871268,-0.45940209809197097,,0,z_mean_revert,0.0061774931712023085
BTCUSDT/SOLUSDT,short_a_long_b,2025-03-11T09:45:00,81510.8,123.92,2025-03-11T11:34:00,81779.0,124.49,0.0005093802462382786,110,2.6299913294075075,0.42906692340262365,,0,z_mean_revert,0.0013093802462382786
BTCUSDT/SOLUSDT,short_a_long_b,2025-03-11T13:15:00,80884.4,121.67,2025-03-11T13:47:00,81127.5,123.42,0.010577643651528046,33,3.8198519867338363,-0.15628514990352166,,0,z_mean_revert,0.011377643651528047
BTCUSDT/SOLUSDT,short_a_long_b,2025-03-12T04:00:00,82051.1,122.23,2025-03-12T05:31:00,81791.3,122.42,0.003920766060491876,92,2.764382619062551,0.3668362006533716,,0,z_mean_revert,0.004720766060491877
BTCUSDT/SOLUSDT,long_a_short_b,2025-03-12T09:03:00,82823.2,125.88,2025-03-12T09:26:00,82405.6,124.07,0.008536707926802523,24,-2.5710827869498454,-0.4595800434631779,,0,z_mean_revert,0.009336707926802523
BTCUSDT/SOLUSDT,long_a_short_b,2025-03-13T08:45:00,82707.0,124.73,2025-03-13T12:06:00,82794.9,125.99,-0.009839032017089666,202,-2.7074151667544326,-0.37869159623590926,,0,z_mean_revert,-0.009039032017089665
BTCUSDT/SOLUSDT,short_a_long_b,2025-03-14T08:00:00,82139.7,124.56,2025-03-14T08:25:00,82497.8,125.53,0.0026277658662367206,26,2.558353712408781,0.31433582212092104,,0,z_mean_revert,0.0034277658662367205
BTCUSDT/SOLUSDT,long_a_short_b,2025-03-14T14:30:00,82865.0,129.26,2025-03-14T16:08:00,84462.7,131.17,0.003704338239796679,99,-2.806475633604412,-0.472067065232103,,0,z_mean_revert,0.004504338239796679
BTCUSDT/SOLUSDT,long_a_short_b,2025-03-14T22:54:00,84417.5,135.7,2025-03-14T23:05:00,84286.2,134.26,0.00825627862569136,12,-2.730551107027163,-0.39375335637428666,,0,z_mean_revert,0.00905627862569136
BTCUSDT/SOLUSDT,long_a_short_b,2025-03-15T13:11:00,84264.9,134.71,2025-03-15T14:35:00,84085.9,134.07,0.0018266930814833334,85,-2.653355722240812,-0.2596623689990363,,0,z_mean_revert,0.0026266930814833334
BTCUSDT/SOLUSDT,long_a_short_b,2025-03-15T17:30:00,84390.4,136.21,2025-03-15T17:47:00,84357.4,135.03,0.007472054013177099,18,-3.1329821941000775,0.2972798303876383,,0,z_mean_revert,0.0082720540131771
BTCUSDT/SOLUSDT,long_a_short_b,2025-03-16T00:51:00,84236.2,136.31,2025-03-16T00:52:00,84268.4,136.61,-0.002618607214879364,2,-2.6513684698450897,-3.4195192579878886,,0,adverse_stop,-0.0018186072148793642
BTCUSDT/SOLUSDT,long_a_short_b,2025-03-16T00:53:00,84259.8,136.35,2025-03-16T01:35:00,83906.0,135.35,0.00233514863196529,43,-2.548563888920458,-0.470550613160611,,0,z_mean_revert,0.00313514863196529
BTCUSDT/SOLUSDT,short_a_long_b,2025-03-16T11:00:00,83628.0,132.46,2025-03-16T11:14:00,83207.8,132.51,0.004602105342583785,15,2.78841036387852,0.39036927252490455,,0,z_mean_revert,0.005402105342583785
BTCUSDT/SOLUSDT,short_a_long_b,2025-03-16T12:00:00,82467.6,129.94,2025-03-16T15:59:00,83280.0,128.68,-0.020347924669898296,240,2.648162323789483,1.020721842372387,,0,max_holding,-0.019547924669898298
BTCUSDT/SOLUSDT,short_a_long_b,2025-03-16T19:49:00,83033.2,126.41,2025-03-16T21:07:00,82996.4,127.13,0.00533894813385063,79,2.6409633919508706,0.4397547526439413,,0,z_mean_revert,0.00613894813385063
BTCUSDT/SOLUSDT,long_a_short_b,2025-03-17T12:01:00,83542.5,129.66,2025-03-17T12:14:00,83319.2,128.74,0.003622589443947689,14,-2.9250711820388466,-0.13922450566082398,,0,z_mean_revert,0.004422589443947689
BTCUSDT/SOLUSDT,short_a_long_b,2025-03-17T13:48:00,83122.1,127.04,2025-03-17T16:22:00,83669.8,127.79,-0.0014854496629440376,155,2.628388124212998,0.4976177363725278,,0,z_mean_revert,-0.0006854496629440375
BTCUSDT/SOLUSDT,long_a_short_b,2025-03-17T19:16:00,84377.7,129.96,2025-03-17T20:49:00,84084.8,129.19,0.0016536036432964981,94,-2.6205180358618585,-0.48877242407384874,,0,z_mean_revert,0.002453603643296498
BTCUSDT/SOLUSDT,short_a_long_b,2025-03-18T01:17:00,83325.0,125.39,2025-03-18T04:16:00,83163.2,124.79,-0.0036432764003730737,180,2.6068695881964747,0.4932191903519098,,0,z_mean_revert,-0.0028432764003730737
BTCUSDT/SOLUSDT,short_a_long_b,2025-03-19T01:46:00,82942.5,124.88,2025-03-19T03:14:00,82906.3,125.06,0.0010778306645097499,89,2.5454221509503077,0.446724459965222,,0,z_mean_revert,0.0018778306645097498
BTCUSDT/SOLUSDT,long_a_short_b,2025-03-19T11:45:00,83897.8,128.88,2025-03-19T12:35:00,83705.9,127.6,0.006844412729584715,51,-2.7704498945933858,-0.41993137094980487,,0,z_mean_revert,0.007644412729584715
BTCUSDT/SOLUSDT,short_a_long_b,2025-03-20T01:31:00,86053.4,132.96,2025-03-20T01:56:00,85877.1,133.51,0.005385310313725267,26,2.620784453933845,0.2862125359121008,,0,z_mean_revert,0.006185310313725267
BTCUSDT/SOLUSDT,long_a_short_b,2025-03-20T07:00:00,85722.6,134.87,2025-03-20T07:28:00,85809.7,134.05,0.0062959969284054566,29,-3.5641787035044237,-0.39791371853839447,,0,z_mean_revert,0.007095996928405457
BTCUSDT/SOLUSDT,short_a_long_b,2025-03-20T10:45:00,85315.3,130.77,2025-03-20T14:01:00,85681.7,131.51,0.0005641326604758585,197,2.631213362009072,-0.3848813027895751,,0,z_mean_revert,0.0013641326604758586
BTCUSDT/SOLUSDT,short_a_long_b,2025-03-20T22:00:00,84428.6,127.51,2025-03-20T22:14:00,84263.0,127.68,0.0024946494224048718,15,2.7013582288885982,0.3358841649862748,,0,z_mean_revert,0.0032946494224048717
BTCUSDT/SOLUSDT,long_a_short_b,2025-03-22T09:45:00,84455.2,131.09,2025-03-22T11:34:00,84242.4,130.43,0.0017150299061093007,110,-3.028242306478039,-0.41093294825614635,,0,z_mean_revert,0.0025150299061093007
BTCUSDT/SOLUSDT,long_a_short_b,2025-03-23T02:24:00,84055.1,129.34,2025-03-23T02:26:00,84055.1,129.52,-0.0021916808411937875,3,-2.5065127452038083,-3.2731986209129023,,0,adverse_stop,-0.0013916808411937875
BTCUSDT/SOLUSDT,long_a_short_b,2025-03-23T02:27:00,84074.0,129.43,2025-03-23T04:53:00,84029.8,129.74,-0.0037208443871308053,147,-2.6462025863164653,-0.3695363067774447,,0,z_mean_revert,-0.0029208443871308054
BTCUSDT/SOLUSDT,long_a_short_b,2025-03-23T10:45:00,84453.4,132.57,2025-03-23T13:03:00,84679.3,133.0,-0.0013687215307272896,139,-2.9163253415658255,-0.46915348588034433,,0,z_mean_revert,-0.0005687215307272896
BTCUSDT/SOLUSDT,long_a_short_b,2025-03-24T01:00:00,85888.1,134.46,2025-03-24T02:00:00,85533.7,132.83,0.007196265111833711,61,-2.9889616463479705,-0.4641057150361689,,0,z_mean_revert,0.007996265111833711
