pair,direction,entry_ts,entry_price_a,entry_price_b,exit_ts,exit_price_a,exit_price_b,pnl_pct,bars_held,z_at_entry,z_at_exit,slope15m_at_entry,trend2h_at_entry,exit_reason,gross_pct
BTCUSDT/SOLUSDT,long_a_short_b,2024-11-29T00:45:00,95847.5,238.48,2024-11-29T00:49:00,95788.2,237.96,0.0007617852002141052,5,-2.01002867206744,-0.41524354236452754,,0,z_mean_revert,0.0015617852002141053
BTCUSDT/SOLUSDT,short_a_long_b,2024-11-29T01:46:00,95828.6,237.28,2024-11-29T01:55:00,95959.6,238.18,0.001625963147292487,10,2.190826172048629,-0.000723266973799831,,0,z_mean_revert,0.002425963147292487
BTCUSDT/SOLUSDT,short_a_long_b,2024-11-29T02:11:00,96666.9,239.25,2024-11-29T02:24:00,96320.9,238.97,0.0016089777761890919,14,2.3735703543407483,0.2700238391003805,,0,z_mean_revert,0.002408977776189092
BTCUSDT/SOLUSDT,long_a_short_b,2024-11-29T03:34:00,96653.0,241.96,2024-11-29T04:45:00,96399.4,240.59,0.0022382736783033382,72,-2.1184355486961377,-0.494616153567634,,0,z_mean_revert,0.003038273678303338
BTCUSDT/SOLUSDT,short_a_long_b,2024-11-29T08:00:00,95745.0,237.98,2024-11-29T09:15:00,96009.5,239.4,0.002404341626711571,76,2.6984729555060376,0.3797273244928274,,0,z_mean_revert,0.003204341626711571
BTCUSDT/SOLUSDT,long_a_short_b,2024-11-29T12:15:00,97478.8,246.75,2024-11-29T12:43:00,97063.1,243.31,0.00887671906622436,29,-2.799498621649819,-0.36349993023725646,,0,z_mean_revert,0.00967671906622436
BTCUSDT/SOLUSDT,long_a_short_b,2024-11-29T21:30:00,97266.2,243.34,2024-11-29T23:31:00,97364.9,243.87,-0.001963281530769389,122,-2.48046224937933,-0.49488477323238117,,0,z_mean_revert,-0.001163281530769389
BTCUSDT/SOLUSDT,long_a_short_b,2024-11-30T04:00:00,96709.2,243.19,2024-11-30T04:54:00,96738.1,242.25,0.003364124543858283,55,-2.0096748905531334,-0.4559936679406198,,0,z_mean_revert,0.004164124543858283
BTCUSDT/SOLUSDT,long_a_short_b,2024-11-30T06:39:00,96873.8,244.03,2024-11-30T06:48:00,96985.9,243.41,0.0028978468533162,10,-2.0568636875730806,-0.24893173242243263,,0,z_mean_revert,0.0036978468533162
BTCUSDT/SOLUSDT,long_a_short_b,2024-11-30T07:45:00,96979.8,245.12,2024-11-30T08:13:00,96864.0,243.71,0.0037582215017486716,29,-2.229428983779805,-0.4006940514806353,,0,z_mean_revert,0.004558221501748672
BTCUSDT/SOLUSDT,long_a_short_b,2024-11-30T08:28:00,97010.3,245.42,2024-11-30T08:57:00,96996.9,244.4,0.0032180108313266905,30,-2.047482816532713,-0.4902418399126859,,0,z_mean_revert,0.0040180108313266905
BTCUSDT/SOLUSDT,short_a_long_b,2024-11-30T11:00:00,96192.1,240.25,2024-11-30T11:42:00,96340.0,241.95,0.004738414237238109,43,2.4864882561744213,0.4947860788699751,,0,z_mean_revert,0.0055384142372381095
BTCUSDT/SOLUSDT,short_a_long_b,2024-11-30T15:15:00,96664.6,239.55,2024-11-30T16:43:00,96650.1,240.27,0.002355638773652547,89,2.3518205697225487,0.4156635787700587,,0,z_mean_revert,0.003155638773652547
BTCUSDT/SOLUSDT,long_a_short_b,2024-11-30T21:15:00,96944.1,241.08,2024-11-30T22:03:00,96807.2,240.06,0.002018806662423623,49,-2.8104564510731356,-0.4856731033309124,,0,z_mean_revert,0.002818806662423623
BTCUSDT/SOLUSDT,short_a_long_b,2024-12-01T02:45:00,95974.5,235.29,2024-12-01T04:31:00,96420.5,236.59,7.802897849820201e-05,107,2.153459851093057,0.47822304051379416,,0,z_mean_revert,0.000878028978498202
BTCUSDT/SOLUSDT,long_a_short_b,2024-12-01T16:00:00,97095.1,238.9,2024-12-01T16:45:00,97350.2,238.86,0.0019947551219907885,46,-2.1268947857544767,-0.3248656546786853,,0,z_mean_revert,0.0027947551219907885
BTCUSDT/SOLUSDT,short_a_long_b,2024-12-01T17:45:00,97305.0,236.87,2024-12-01T19:56:00,97180.0,236.87,0.0004846205230975238,132,2.0819371345706976,0.20186814344204665,,0,z_mean_revert,0.0012846205230975238
BTCUSDT/SOLUSDT,long_a_short_b,2024-12-01T23:06:00,97787.2,239.12,2024-12-01T23:56:00,97301.7,237.2,0.0022645788078221826,51,-2.1342447788605887,-0.42001951572325075,,0,z_mean_revert,0.0030645788078221825
BTCUSDT/SOLUSDT,short_a_long_b,2024-12-02T01:17:00,97632.5,235.1,2024-12-02T01:39:00,98032.0,237.9,0.007017950462090106,23,2.277314822554177,0.3702186534883716,,0,z_mean_revert,0.007817950462090106
