date,equal,risk_parity,correlation_off
2023-10-27,113419.95013002875,103315.90631799283,103269.84694196211
2023-10-28,114055.83478659154,103407.76387775557,103360.48226076267
2023-10-29,114649.03232913204,103531.03718684269,103481.19803494998
2023-10-30,114637.22601432001,103498.40033295481,103449.3485520209
2023-10-31,113813.90987512076,103341.05045593245,103293.63265836713
2023-11-01,113143.86827246919,103251.16205976768,103204.11669535507
2023-11-02,112375.47041928963,103117.82646780601,103072.7222855411
2023-11-03,113442.25396056873,103292.75498185836,103243.56752352035
2023-11-04,113702.52242783268,103339.28064340663,103289.70236696208
2023-11-05,113862.4148369332,103263.70350226408,103216.18675534616
2023-11-06,113842.28951386886,103266.06946604817,103217.5975611858
2023-11-07,113788.56509726594,103234.79698545994,103187.579679684
2023-11-08,114017.55169564331,103266.33415388511,103217.89687452705
2023-11-09,112889.44250363843,102892.39914778696,102854.26915923206
2023-11-10,112626.83199104811,102831.13427484625,102793.6863677839
2023-11-11,111221.67032151211,102586.89159118051,102552.9880342893
2023-11-12,112080.66911330145,102748.48511318257,102711.85184805634
2023-11-13,113703.59074066882,102952.20765020626,102915.5032471951
2023-11-14,113440.82743819282,102905.4546853041,102867.86237024728
2023-11-15,112647.53913465227,102728.63051868517,102695.04868559365
2023-11-16,112634.38689578636,102731.50145679044,102697.69114217175
2023-11-17,113395.88025662926,102809.13764090602,102774.40232083939
2023-11-18,114388.0507723557,102980.38870053661,102943.17269626955
2023-11-19,113967.9334707563,102927.12314324523,102890.00042179783
2023-11-20,113480.24929785942,102806.11445341728,102772.09491286798
2023-11-21,114362.89457678856,103013.35999787624,102972.58485951701
2023-11-22,114495.89253256192,102956.69754296634,102916.50252763604
2023-11-23,115215.9926395665,103098.9825121099,103056.02962016362
2023-11-24,115252.00616535782,103110.16689624198,103066.86802295114
2023-11-25,115654.41677135586,103214.25742944679,103170.29500439455
2023-11-26,115636.74191831386,103208.01787589214,103163.3312582177
2023-11-27,115865.36506197236,103201.60832648366,103158.65621452003
2023-11-28,116162.80765143139,103266.17556114032,103221.77076535807
2023-11-29,116026.69744554919,103223.30210430002,103178.9708168768
2023-11-30,115958.2100633232,103176.18559282027,103133.29034933336
2023-12-01,115778.74658275367,103129.01294491821,103087.41288411374
2023-12-02,115594.26108074845,103099.66854020522,103058.42510080432
