,equal,risk_parity,correlation_off
2025-02-24,102730.71995638718,100391.41218042698,100388.20260619212
2025-02-25,102573.27087071589,100379.36628873606,100376.14782710787
2025-02-26,102495.94684533824,100406.13307619559,100402.66355446285
2025-02-27,102751.64358456292,100432.63747779618,100429.0945869299
2025-02-28,102254.28313945598,100417.00672466499,100413.55942936995
2025-03-01,102245.7500212049,100416.13735055261,100412.68510029107
2025-03-02,102363.04846513573,100460.65359737654,100457.20478604366
2025-03-03,101857.58935210804,100437.10230941293,100433.94540185628
2025-03-04,102212.3239083263,100506.44128250441,100503.34030771379
2025-03-05,102534.20653855367,100530.1858354156,100527.08147064771
2025-03-06,102411.92713793204,100510.67896869697,100507.56492572823
2025-03-07,102507.06073404058,100520.37264726004,100517.31399465089
2025-03-08,102401.49331348887,100506.36139070148,100503.17288660727
2025-03-09,102407.44570572824,100504.10607738244,100500.86103040796
2025-03-10,102591.93847255026,100518.27733868522,100515.04265971137
2025-03-11,102642.71801448648,100518.2619001296,100514.9907073413
2025-03-12,102928.96475086562,100534.23208592314,100530.85177031731
2025-03-13,103073.26441771738,100543.28529300267,100539.8715643026
2025-03-14,103207.94891748377,100551.84517295177,100548.4028322991
2025-03-15,103220.4204284005,100552.9489926221,100549.51055019321
2025-03-16,103035.91347681815,100543.65335498292,100540.30469399234
2025-03-17,103219.51947007945,100556.59340757556,100553.22349685639
2025-03-18,103188.25927194659,100552.92383693055,100549.5252212884
2025-03-19,103325.60166725857,100558.18460940372,100554.71967873337
2025-03-20,103422.77442286363,100564.37664005122,100560.89174751795
2025-03-21,103557.76680263189,100573.1413261171,100569.65029925597
2025-03-22,103521.41298691405,100571.49907073319,100568.02764878396
2025-03-23,103213.56741388,100552.13144459191,100548.72764634369
2025-03-24,103062.30490176707,100545.76497536803,100542.46109008072
2025-03-25,103278.4851910727,100559.70537700618,100556.34045591562
2025-03-26,103214.87847491736,100556.50567461061,100553.1752969427
2025-03-27,103350.30027330543,100564.66688217172,100561.31629274816
2025-03-28,103509.73993098298,100576.54861540988,100573.20143046742
2025-03-29,103753.9729707309,100590.05718645155,100586.61737467448
2025-03-30,103782.99702827833,100589.50060922271,100586.05265536977
2025-03-31,103769.23506877251,100592.73535565716,100589.31880418844
2025-04-01,103833.07860900332,100596.90703604055,100593.50322941232
2025-04-02,103735.3803120507,100595.55074397812,100592.26841355996
2025-04-03,103524.07800671896,100582.40724970025,100579.17386811436
2025-04-04,103446.3292511217,100579.64390139704,100576.47221846355
2025-04-05,103265.15448705723,100569.79820324003,100566.6990657891
2025-04-06,102984.67365446562,100549.45649259066,100546.36343983165
2025-04-07,102998.95490992181,100549.65099930084,100546.6965797533
2025-04-08,102771.87066266613,100533.06632036279,100530.23820719939
2025-04-09,102945.84725494593,100553.52759160426,100550.67797456523
2025-04-10,102887.46120553356,100533.66707465539,100530.87838281787
2025-04-11,102981.63451908313,100540.53440329611,100537.7439943232
2025-04-12,102806.34387062675,100564.27225333806,100561.14155990552
2025-04-13,103073.45204089468,100573.31064624233,100570.09807265861
2025-04-14,103076.3776999243,100564.05163084093,100560.83402895222
2025-04-15,103345.09465695369,100582.10144813229,100578.84709128532
2025-04-16,103678.292206263,100597.42523625257,100594.22620509061
2025-04-17,103692.18169880794,100595.91308477872,100592.66100202072
2025-04-18,103983.72844417847,100612.80745418367,100609.46164035719
2025-04-19,104082.91748157355,100658.1088853759,100654.95566224372
2025-04-20,104096.5691647641,100658.90318184103,100655.77260292853
2025-04-21,104022.8074120596,100652.85939772133,100649.71505404143
2025-04-22,104243.17484070033,100662.63553020092,100659.35846668635
2025-04-23,104494.13363239999,100678.34001636747,100675.00841692569
2025-04-24,104632.02391767943,100734.72762186255,100731.27676878357
2025-04-25,104697.14180984537,100745.50071914951,100742.1527114919
2025-04-26,104919.10753482259,100762.66911011354,100759.34278500253
2025-04-27,105100.3030549904,100771.8736226882,100768.5513922694
2025-04-28,105086.53150246406,100767.73889243687,100764.36514871157
2025-04-29,105087.02933328766,100767.16851965229,100763.78206118371
2025-04-30,104867.58036178917,100748.57516475118,100745.1550287811
2025-05-01,104888.28713494985,100749.72984179245,100746.30240740554
2025-05-02,104996.87764482062,100770.96021111465,100767.5134983386
2025-05-03,105090.80633857023,100778.4659864739,100775.0338603605
2025-05-04,105135.79088963721,100783.14811155613,100779.74582700538
2025-05-05,105062.52571546109,100776.13929106653,100772.74507148466
2025-05-06,105160.70055553375,100781.58808739754,100778.14877744425
2025-05-07,105133.72655171742,100783.09928305098,100779.73259898594
2025-05-08,104748.23210282478,100749.08389561188,100745.58931003763
2025-05-09,104710.28018521935,100742.50378308647,100738.92905763966
2025-05-10,104365.34235661346,100727.6568633246,100723.53509164123
2025-05-11,104383.44901244142,100729.30549173064,100725.24853130174
2025-05-12,104185.05847784423,100706.5560057369,100702.47861176476
2025-05-13,103673.77361812384,100674.0986034266,100670.12365909411
2025-05-14,103710.70690349198,100676.1802990265,100672.19218537924
2025-05-15,103669.91718285132,100675.80060430928,100671.93853429813
2025-05-16,103630.19106406611,100668.28184756546,100664.30049407596
2025-05-17,104029.66210543274,100691.91622724205,100687.86138795238
2025-05-18,103861.04938875722,100681.37318898315,100677.3008544372
2025-05-19,104165.70456312748,100699.32937650656,100695.23878241489
2025-05-20,104350.50893496515,100709.58152500114,100705.4228552447
2025-05-21,104782.46567300835,100737.94221592841,100733.71768283423
2025-05-22,104947.18715797484,100749.79585558313,100745.56893416098
2025-05-23,104738.1434483952,100728.01159723921,100723.85824142516
2025-05-24,104901.8565990308,100729.37560874083,100725.16605576842
2025-05-25,104981.87584605529,100733.90660150354,100729.67031587909
2025-05-26,105018.32380937455,100733.31960038563,100729.07180499064
2025-05-27,104996.7333542553,100729.39132501786,100725.1326855199
2025-05-28,104868.23193762265,100716.36545434762,100712.02907363798
2025-05-29,105014.40931378731,100718.78495893932,100714.34900524597
2025-05-30,104948.21071785239,100716.68302359407,100711.70613567693
2025-05-31,105097.44084862337,100725.39967698984,100720.37858633426
2025-06-01,104865.96387328568,100713.15414851154,100708.24500982228
2025-06-02,104904.33715622683,100713.2585064478,100708.2931860454
2025-06-03,104736.7474586253,100704.33358096848,100699.43610192822
2025-06-04,104905.47970279063,100719.88634514067,100715.05776524617
2025-06-05,104801.35897435395,100698.6576110567,100693.60352356716
2025-06-06,104914.12264248558,100704.66685586254,100699.60512860761
2025-06-07,104862.90293285296,100704.03594492021,100699.03886638081
2025-06-08,104588.12766389936,100704.57715280232,100699.72845595259
2025-06-09,104368.11341349354,100684.99542674805,100680.07197997157
2025-06-10,104404.35078511779,100720.97691369582,100715.78408010342
2025-06-11,104372.92304290595,100711.3301731266,100706.04428652761
2025-06-12,104420.17648465573,100710.98523206433,100705.61990666436
2025-06-13,104492.9375572331,100726.24784336983,100720.89915528057
2025-06-14,104767.80257271559,100743.93003463735,100738.50894452758
2025-06-15,104739.72218327434,100785.51461275069,100779.68770803676
2025-06-16,104422.9189616545,100763.28620865045,100757.4766060045
2025-06-17,104781.20878989121,100786.66143726265,100780.81219860153
2025-06-18,104910.60032828974,100796.42590555102,100790.56207938943
2025-06-19,104960.70321152873,100800.54563691404,100794.69184355944
2025-06-20,104640.10301885211,100781.3398013123,100775.57144287834
2025-06-21,104043.4140680762,100693.74426027606,100687.69638964112
2025-06-22,103913.59860390525,100684.38048573236,100678.33552199574
2025-06-23,104197.18524785394,100702.97128511334,100696.92362773509
2025-06-24,104275.95665455585,100707.72831373278,100701.65969361225
2025-06-25,104309.36270900846,100708.706379917,100702.60714280343
2025-06-26,104354.08985120873,100709.93853734576,100703.87511707311
2025-06-27,104516.37916649527,100717.96848334564,100711.90376200141
2025-06-28,104111.88559807015,100695.89631944848,100689.98737165591
2025-06-29,104213.89099947351,100699.48130782915,100693.52291833835
2025-06-30,104128.26139491407,100691.84371212649,100685.94375912314
2025-07-01,103920.44439730888,100680.4187832353,100674.59785447658
2025-07-02,103750.04926139381,100657.3932629916,100651.35159555612
2025-07-03,103508.57849436758,100692.39785762843,100685.93303019555
2025-07-04,103549.54588596846,100694.34056268656,100687.85328882241
2025-07-05,103505.33743227628,100688.45856695596,100681.9940901257
2025-07-06,103514.12197916911,100691.92393838195,100685.51847536626
2025-07-07,103460.02529971227,100688.86960749468,100682.48354016333
2025-07-08,103412.26555972718,100681.56933042956,100675.11970078864
2025-07-09,103490.97244677441,100686.57992192454,100680.11382910788
2025-07-10,103519.45106629073,100688.22837141786,100681.7529079867
2025-07-11,103321.28405334702,100674.41605966659,100667.95670067614
2025-07-12,103363.47426955897,100676.32605177659,100669.89440551943
2025-07-13,103380.7982549789,100677.55913974401,100671.12658496862
2025-07-14,103322.11179672259,100672.68517136121,100666.24109290568
2025-07-15,103479.68286829903,100681.68511213163,100675.18629476597
2025-07-16,102921.5098561785,100629.41889286716,100622.7018061747
2025-07-17,102698.33381680453,100610.40713087282,100603.72000502591
2025-07-18,102540.22397073303,100594.96603142213,100588.2009967739
2025-07-19,102776.24344609548,100610.01303576931,100603.19625933708
2025-07-20,102680.82339984062,100598.25582507708,100591.36994074113
2025-07-21,102592.05269813932,100591.623863136,100584.7369060973
2025-07-22,102542.88033300846,100583.89735082565,100576.92503057976
2025-07-23,102452.86413202104,100570.98909816559,100563.98044896437
2025-07-24,102185.60369737181,100556.94321331821,100550.0787151649
2025-07-25,102405.07607414428,100568.70202589461,100561.74160114888
2025-07-26,102569.78316713181,100578.09069649293,100571.07059937842
2025-07-27,102754.77050578421,100590.98932066919,100583.95189914948
2025-07-28,102420.57476413113,100569.23033177736,100562.25564837086
2025-07-29,102599.50196698729,100577.09715928462,100570.06030852777
2025-07-30,102721.83688998688,100583.96109854484,100576.87797594264
2025-07-31,102652.70265943436,100582.80945878469,100575.80944614872
2025-08-01,102746.61590862888,100544.32325232336,100537.15244655317
2025-08-02,102671.30226419827,100543.31790896785,100536.2427845361
2025-08-03,102893.99945166762,100555.24389758235,100548.07298360585
2025-08-04,102683.91143093181,100537.37119344421,100530.15140605564
2025-08-05,102733.02851948551,100539.26219385181,100532.04805237359
2025-08-06,102838.40890861193,100545.75372619445,100538.54695994484
2025-08-07,102350.25231066866,100510.1595612945,100502.96378008166
2025-08-08,102592.33459584121,100527.75108500624,100520.54694713608
2025-08-09,102637.85339301148,100527.1937635757,100519.93911150834
2025-08-10,102624.19428462941,100525.36417343683,100518.11565866382
2025-08-11,102783.37702544294,100571.48930145794,100563.96444473359
2025-08-12,102497.15475286596,100554.32652807965,100546.93425598502
2025-08-13,102436.27627668697,100552.51982790948,100545.18500304793
2025-08-14,102720.13232631063,100575.5537237926,100568.25962170532
2025-08-15,102258.21093093918,100546.17668997032,100538.98411857021
2025-08-16,102286.10960808644,100547.76890390851,100540.56620906183
2025-08-17,102366.39244339018,100553.02546583749,100545.81139012997
2025-08-18,102299.04321413711,100551.68432501428,100544.43841700211
2025-08-19,102604.20548798844,100573.11967325342,100565.87798888654
2025-08-20,102657.04165187247,100579.39012358921,100572.06031177395
2025-08-21,102828.23710923237,100589.78454654812,100582.40660843498
2025-08-22,102721.37454732033,100585.46619161479,100578.09673765421
2025-08-23,102731.684390121,100587.11971782232,100579.76887662246
2025-08-24,102561.50292006736,100580.70633374687,100573.48518318353
2025-08-25,102219.3425308842,100560.2364891603,100553.11838847876
2025-08-26,102231.42332161183,100563.26689912553,100556.19339754464
