date,equal,risk_parity,correlation_off
2024-09-09,118980.83600773395,101189.17361051391,101047.98363970895
2024-09-10,119006.1781486216,101189.40420750984,101048.11413953254
2024-09-11,119353.54964574616,101202.08283978562,101058.6320322612
2024-09-12,119543.77959549958,101223.593512402,101078.75294831792
2024-09-13,119455.9680051285,101215.13063923732,101070.84450354488
2024-09-14,119481.92473160545,101216.15681335777,101071.70263841108
2024-09-15,119295.75131545875,101190.62060342896,101047.93650972692
2024-09-16,119157.21964856662,101180.47432209467,101038.8564021784
2024-09-17,119084.39753625885,101167.91604828308,101027.07551720196
2024-09-18,119230.92671768338,101136.01888434292,100993.70116228779
2024-09-19,119064.31193174323,101123.64713314835,100982.51086280565
2024-09-20,118457.87511173179,101111.30508922703,100974.5375654959
2024-09-21,118800.73128548023,101070.34915357649,100931.19000785527
2024-09-22,119083.35417610496,101084.91322576771,100943.80745084852
2024-09-23,119370.07571142279,101100.89928233632,100957.83052884495
2024-09-24,119425.51679127695,101104.89713976496,100961.37135606342
2024-09-25,119587.75766481964,101114.01471098485,100969.36557659386
2024-09-26,119612.17716779112,101114.86162828443,100969.9919843261
2024-09-27,119486.30431406695,101104.9928241736,100961.07891620873
2024-09-28,119557.82835660233,101125.05936763338,100980.72867993604
2024-09-29,119237.16433141727,101102.77718307493,100960.72360807649
2024-09-30,119736.50281711706,101123.19380082471,100977.90646310014
2024-10-01,119918.59379501149,101126.79356374359,100980.40013023301
2024-10-02,120268.20546845405,101159.18801867939,101010.78352029304
2024-10-03,120240.51006400012,101158.16150584283,101009.94509763487
2024-10-04,120335.51888755993,101164.7848089,101015.74355084366
2024-10-05,120784.53544440967,101187.42710114879,101035.37802439113
2024-10-06,120990.94523669616,101197.60561656921,101044.18505198996
2024-10-07,121161.9341080784,101182.382977063,101027.79251321392
2024-10-08,120994.56090758127,101164.19365796108,101010.80347598241
2024-10-09,121485.72474240669,101189.88138830307,101033.20481810567
2024-10-10,121942.94245273386,101212.18611211353,101052.53828619867
2024-10-11,122160.90602382088,101234.81822317043,101073.88578208984
2024-10-12,122309.93727591269,101241.33620640323,101079.48144456766
2024-10-13,122418.08906313674,101245.58465855771,101083.00606835967
2024-10-14,122682.30249811447,101256.43156073667,101092.2171688
2024-10-15,122650.36431040501,101245.60877143667,101081.91868954226
2024-10-16,123067.40291303821,101266.32232869248,101099.9529698289
2024-10-17,123094.63747993093,101278.10185923407,101111.51350376553
2024-10-18,123145.81377047773,101282.82425076705,101115.79037870797
2024-10-19,123351.5962703406,101290.50785422462,101122.10292658517
2024-10-20,122637.23272737514,101248.17117706007,101084.66748394405
2024-10-21,122989.97776986693,101266.35195922204,101100.56189210272
2024-10-22,123418.48364737864,101281.32757503563,101112.85996587944
2024-10-23,123088.95825148835,101249.57346558987,101083.14901690802
2024-10-24,123456.95635500309,101267.3213800332,101098.57057459619
2024-10-25,122952.05376975346,101241.28449866077,101075.84115458155
2024-10-26,123432.45421607365,101275.27179433285,101106.70624264189
2024-10-27,124103.92340467729,101306.75591519228,101133.86709033436
2024-10-28,123941.945401405,101296.08215995431,101124.3722928533
2024-10-29,123962.45785813342,101298.84039693302,101126.85338968181
2024-10-30,123992.96909687048,101300.54131484285,101128.30786185394
2024-10-31,124411.48479808222,101315.61021503828,101140.68705634403
2024-11-01,124416.56082247563,101309.03205583843,101134.00608197627
2024-11-02,124132.62296689677,101295.44526379979,101122.17881212787
2024-11-03,124385.00303966369,101311.41458369997,101136.3190230696
2024-11-04,124720.51094357853,101319.6801449147,101142.58267108936
2024-11-05,125264.50433958591,101354.0696161896,101173.30461242067
2024-11-06,125451.49673647278,101350.93927088664,101169.3502189286
2024-11-07,125883.47386931651,101386.87195690721,101201.98605426513
2024-11-08,125964.15537115053,101386.8895055009,101201.50701304374
2024-11-09,126229.40623330772,101398.56569821252,101211.35785857953
2024-11-10,126583.49004867594,101405.34819843956,101216.24029647831
2024-11-11,125884.0797031819,101361.26476653382,101176.84769242498
2024-11-12,126810.37439572629,101422.49969784587,101231.6922659632
2024-11-13,127282.796892824,101534.43061728691,101340.91227842752
2024-11-14,128058.62198495485,101568.64375419705,101370.23999134886
2024-11-15,128008.89253533546,101555.86759643591,101357.96961656612
2024-11-16,128713.99902599941,101587.4571553077,101385.23425441296
2024-11-17,128157.02267899473,101560.79576557546,101361.95672818997
2024-11-18,129064.00309716348,101599.52415132333,101395.05576154262
2024-11-19,129630.07435230774,101631.90951664136,101423.71507998384
2024-11-20,130517.05050255376,101667.18270224365,101453.7118783384
2024-11-21,130711.69566070812,101671.23295832754,101456.69996304781
2024-11-22,131011.92272613267,101675.43182987941,101459.51827632176
2024-11-23,131392.67222570052,101681.66080912935,101463.79558441417
2024-11-24,130799.34936665134,101645.20993845818,101431.26004064608
2024-11-25,131223.04875685865,101658.75338796624,101442.15595907262
2024-11-26,131441.11273023917,101664.31936672496,101446.46116667007
2024-11-27,132228.33793201,101702.2773993066,101479.58988955355
2024-11-28,132515.70197279454,101801.32988235264,101577.55413407712
2024-11-29,132351.60693891518,101796.2713014771,101573.40683049805
2024-11-30,132764.78821930801,101804.03563009179,101579.0968828334
2024-12-01,132826.1431943267,101812.55555688322,101587.08403892047
2024-12-02,133204.1996093739,101828.73964503838,101601.08002039674
2024-12-03,133230.03820574773,101830.14493982156,101602.27325375524
2024-12-04,133883.1385918963,101862.41469789721,101630.49457137597
2024-12-05,133878.70389866226,101875.65299523072,101643.19287576411
2024-12-06,133094.14358890647,101847.15904293205,101619.15299044615
2024-12-07,133549.7771945867,101862.32624320965,101631.5746327914
2024-12-08,133957.17001635005,101883.3104132679,101650.03201936293
2024-12-09,134198.15000524416,101927.80970589214,101694.05875903196
2024-12-10,134662.05176607583,101955.12257456644,101718.2870837277
2024-12-11,134558.5335565094,101941.98611716338,101705.77413939257
2024-12-12,134372.78919193923,101922.85479416825,101688.01158402914
2024-12-13,134538.12327147103,101937.50133204837,101701.35617846236
2024-12-14,133621.71559420845,101895.70418142235,101665.00042188857
2024-12-15,133944.98678967578,101911.93813110807,101679.15250098798
2024-12-16,134063.2207009334,101920.32588318763,101686.67910269047
2024-12-17,133947.81866363683,101926.1261896596,101693.18662198617
2024-12-18,134577.64221703602,101959.69879398741,101722.87558707404
2024-12-19,135405.74882620326,102093.93725490375,101852.87536022987
2024-12-20,135572.5194213018,102142.67483236041,101900.14508510656
2024-12-21,134538.3157795251,102097.4089862368,101860.80941487219
2024-12-22,135143.13068621416,102126.13878870018,101885.89692423808
2024-12-23,135741.69356193978,102153.10170876737,101909.27929322151
2024-12-24,135690.75577701264,102144.7449728073,101901.07426325293
2024-12-25,135459.3869070873,102138.1541223094,101895.66523545308
2024-12-26,136301.88994307505,102178.86060993497,101931.33496669967
2024-12-27,136886.5931088347,102207.09291830042,101956.04566667782
2024-12-28,136744.31967786947,102197.32327741382,101947.09170135116
2024-12-29,136586.57617127412,102150.40957326931,101901.13095807105
2024-12-30,136889.78887492692,102167.70463202203,101916.83790362896
2024-12-31,136998.3444114506,102148.50365200423,101897.1262808972
