variant,symbol,direction,entry_ts,entry_price,exit_ts,exit_price,pnl_pct,bars_held,exit_reason,twap_slices_used,cancel_replace_triggered,micro_z_at_entry
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,long,2024-06-19T15:00:00,65098.010000,2024-06-19T16:45:00,64922.260000,-0.003900,8,micro_z_compressed,4,False,2.126
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,long,2024-06-20T01:30:00,65247.010000,2024-06-20T03:15:00,65152.740000,-0.002645,8,micro_z_compressed,4,False,2.158
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,short,2024-06-20T13:45:00,65142.650000,2024-06-20T16:45:00,64888.000000,0.002709,13,micro_z_compressed,4,False,-1.805
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,long,2024-06-20T18:30:00,65065.990000,2024-06-20T20:45:00,65099.990000,-0.000677,10,micro_z_compressed,4,False,1.950
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,long,2024-06-21T13:45:00,63615.210000,2024-06-21T21:15:00,63921.990000,0.003622,31,micro_z_compressed,4,False,1.803
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,long,2024-06-22T17:00:00,64292.220000,2024-06-22T20:00:00,64273.420000,-0.001492,13,micro_z_compressed,4,False,2.140
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,short,2024-06-22T23:30:00,64266.760000,2024-06-23T00:00:00,64354.510000,-0.002565,3,micro_z_compressed,2,False,-2.227
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,short,2024-06-24T00:15:00,63108.210000,2024-06-24T04:30:00,62890.010000,0.002258,18,micro_z_compressed,4,False,-2.028
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,long,2024-06-24T07:45:00,62456.000000,2024-06-24T08:15:00,62734.270000,0.003255,3,twap_cancel_replace,2,True,2.461
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,long,2024-06-24T12:15:00,61340.010000,2024-06-24T15:45:00,60843.990000,-0.009286,15,micro_z_compressed,4,False,1.834
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,long,2024-06-25T00:30:00,60390.020000,2024-06-25T04:00:00,61174.990000,0.011798,15,micro_z_compressed,4,False,1.886
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,short,2024-06-25T06:15:00,61033.140000,2024-06-25T09:30:00,61055.940000,-0.001574,14,micro_z_compressed,4,False,-1.862
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,short,2024-06-25T12:00:00,61113.190000,2024-06-25T15:30:00,61857.990000,-0.013387,15,micro_z_compressed,4,False,-2.003
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,short,2024-06-27T05:00:00,61020.000000,2024-06-27T06:30:00,60714.050000,0.003814,7,micro_z_compressed,4,False,-2.459
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,long,2024-06-27T23:45:00,61706.470000,2024-06-28T00:45:00,61560.000000,-0.003574,5,micro_z_compressed,4,False,2.509
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,long,2024-06-28T02:15:00,61764.010000,2024-06-28T05:30:00,61515.000000,-0.005232,14,micro_z_compressed,4,False,2.139
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,short,2024-06-28T10:00:00,61498.000000,2024-06-28T11:30:00,61680.000000,-0.004159,7,micro_z_compressed,4,False,-2.620
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,short,2024-06-29T21:00:00,60986.000000,2024-06-29T21:45:00,61044.990000,-0.002167,4,micro_z_compressed,3,False,-2.654
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,short,2024-06-29T23:45:00,60986.680000,2024-06-30T01:45:00,60961.990000,-0.000795,9,micro_z_compressed,4,False,-1.857
