,equity
2023-05-02,4.902797780303891e-19
2023-05-03,4.08569941193181e-19
2023-05-04,3.6313031170014093e-19
2023-05-05,3.10406252583548e-19
2023-05-06,2.8141158072355294e-19
2023-05-07,2.370438560857975e-19
2023-05-08,2.1045174236155268e-19
2023-05-09,2.071606017619851e-19
2023-05-10,2.0138630049557695e-19
2023-05-11,1.7048174335591078e-19
2023-05-12,1.575653421148708e-19
2023-05-13,1.3781724490176514e-19
2023-05-14,1.2966050718682533e-19
2023-05-15,1.1997866527522712e-19
2023-05-16,1.0558787211908965e-19
2023-05-17,9.087632152299419e-20
2023-05-18,8.483390358148909e-20
2023-05-19,8.21702338903024e-20
2023-05-20,6.645893479404641e-20
2023-05-21,6.164953022954427e-20
2023-05-22,5.799620305966703e-20
2023-05-23,5.440795509237898e-20
2023-05-24,4.7956714643170504e-20
2023-05-25,4.3523215154861743e-20
2023-05-26,3.806546873163011e-20
2023-05-27,3.02776486720742e-20
2023-05-28,2.689734428058685e-20
2023-05-29,2.4530518807030493e-20
2023-05-30,2.261744539840056e-20
2023-05-31,2.1228590495246645e-20
2023-06-01,1.864035674653038e-20
2023-06-02,1.6209785319031168e-20
2023-06-03,1.401848639263841e-20
2023-06-04,1.2238940401357935e-20
2023-06-05,1.080970956736519e-20
2023-06-06,9.721891680874731e-21
2023-06-07,8.769023215817487e-21
2023-06-08,8.422956237585827e-21
2023-06-09,6.975388833964977e-21
2023-06-10,6.019057516195165e-21
2023-06-11,5.745293067764411e-21
2023-06-12,5.043930022480096e-21
2023-06-13,4.8507310783826105e-21
2023-06-14,4.192369106364725e-21
2023-06-15,3.615840690798838e-21
2023-06-16,3.0417046857956574e-21
2023-06-17,2.8023682434608885e-21
2023-06-18,2.3977599143764074e-21
2023-06-19,2.1907501762104942e-21
2023-06-20,1.99702928958134e-21
2023-06-21,1.7528633543686343e-21
2023-06-22,1.4979178053395883e-21
2023-06-23,1.3331560716236229e-21
2023-06-24,1.2211782484825905e-21
2023-06-25,1.074676956236735e-21
2023-06-26,8.79171747393783e-22
2023-06-27,7.586478018701743e-22
2023-06-28,6.766655307527325e-22
2023-06-29,5.665020438551133e-22
2023-06-30,5.050456018302246e-22
2023-07-01,4.689031145110829e-22
2023-07-02,4.1923714265518116e-22
2023-07-03,3.7439085856286424e-22
2023-07-04,3.259109036773948e-22
2023-07-05,2.9663935502570643e-22
2023-07-06,2.4851962937284388e-22
2023-07-07,2.3994581262233504e-22
2023-07-08,2.2073361993255726e-22
2023-07-09,1.8837631697490477e-22
2023-07-10,1.7164923591306552e-22
2023-07-11,1.5629415536499681e-22
2023-07-12,1.391833125897187e-22
2023-07-13,1.1446311428587933e-22
2023-07-14,9.924834675309844e-23
2023-07-15,8.978978361731326e-23
2023-07-16,8.595033716599333e-23
2023-07-17,7.395255660420024e-23
2023-07-18,6.782065974649899e-23
2023-07-19,6.110851790907779e-23
2023-07-20,5.61301835978712e-23
2023-07-21,5.0635766131684835e-23
2023-07-22,4.357534268615259e-23
2023-07-23,3.9964477276996145e-23
2023-07-24,3.613197700692901e-23
2023-07-25,3.4715018908197346e-23
2023-07-26,3.0134514872290474e-23
2023-07-27,2.821405821690265e-23
2023-07-28,2.4451178862124374e-23
2023-07-29,2.3389860181765308e-23
2023-07-30,1.9871290586198064e-23
2023-07-31,1.7703935016678808e-23
2023-08-01,1.557431004701182e-23
2023-08-02,1.4890498475402238e-23
2023-08-03,1.2911152116915219e-23
2023-08-04,1.1203694952708269e-23
2023-08-05,1.0365421189380085e-23
2023-08-06,8.676685368253122e-24
2023-08-07,7.755830833418143e-24
2023-08-08,6.568317569142663e-24
2023-08-09,6.111633039463343e-24
2023-08-10,5.784258899658363e-24
2023-08-11,5.3359679054086046e-24
2023-08-12,4.771798094880839e-24
2023-08-13,4.567440167149507e-24
2023-08-14,4.039814886859704e-24
2023-08-15,3.556841241210317e-24
2023-08-16,3.0498264381178682e-24
2023-08-17,2.6088802627874473e-24
2023-08-18,2.462237708495014e-24
2023-08-19,2.2276025394980228e-24
2023-08-20,2.1015660248478723e-24
2023-08-21,1.910002884248887e-24
2023-08-22,1.710625968446615e-24
2023-08-23,1.5996160088459292e-24
2023-08-24,1.410404850329777e-24
2023-08-25,1.2367229932565786e-24
2023-08-26,1.1663712627437515e-24
2023-08-27,1.063104429654344e-24
2023-08-28,9.475904396209238e-25
2023-08-29,8.218680616051854e-25
2023-08-30,7.38774697348649e-25
2023-08-31,6.829519273683134e-25
2023-09-01,6.357952297841288e-25
2023-09-02,5.85525454877469e-25
2023-09-03,5.2923118405382255e-25
2023-09-04,4.859599197447754e-25
2023-09-05,4.319446930622752e-25
2023-09-06,3.90935611796642e-25
2023-09-07,3.5922815954758984e-25
2023-09-08,3.2130168766993556e-25
2023-09-09,2.9999480016589057e-25
2023-09-10,2.426555007430145e-25
2023-09-11,2.1459878316342547e-25
2023-09-12,1.8625897781395009e-25
2023-09-13,1.7044695856797557e-25
2023-09-14,1.4899726624522275e-25
2023-09-15,1.2020506025811984e-25
2023-09-16,1.091795062584494e-25
2023-09-17,9.223981443226057e-26
2023-09-18,7.964947690204303e-26
2023-09-19,7.410939049171254e-26
2023-09-20,6.965844620037494e-26
