symbol,direction,entry_date,entry_price,exit_date,exit_price,reason,pnl_usd,pnl_pct,bars_held,atr_at_entry,risk_per_trade
BTCUSDT,long,2023-06-29,30254.984505,2023-06-29,30390.665520000002,target,309.7491989242507,0.004484583853532564,15,58.76114181504209,0.01
BTCUSDT,long,2023-06-30,30425.570000000003,2023-07-01,30528.15897,time_stop,233.933956008986,0.0033718010870460446,96,197.5129069845842,0.01
BTCUSDT,long,2023-07-06,30468.99504,2023-07-06,30368.289135000003,trend_reversal,-230.0859060575855,-0.0033051928646741224,2,173.77861698408856,0.01
BTCUSDT,long,2023-08-11,29470.59969,2023-08-11,29380.952365,stop,-211.05894725080967,-0.003041924017257669,1,25.392434951369946,0.01
BTCUSDT,long,2023-08-11,29482.61769,2023-08-11,29393.793075,stop,-208.40090204649957,-0.003012779120699527,3,25.089614484290458,0.01
BTCUSDT,long,2023-08-12,29460.48454,2023-08-12,29377.12811,stop,-195.12868333223804,-0.00282943173887118,1,16.32796221011323,0.01
BTCUSDT,long,2023-08-12,29460.98529,2023-08-12,29370.048745,stop,-212.26702222019182,-0.003086676976511993,1,12.455088066004429,0.01
BTCUSDT,long,2023-08-13,29441.8967,2023-08-13,29348.720785,stop,-216.9634742637799,-0.0031647388736337767,1,9.894141679792614,0.01
BTCUSDT,long,2023-08-13,29445.662340000003,2023-08-13,29362.370280000003,stop,-193.31004083281928,-0.0028286699425623674,1,9.09303180411981,0.01
BTCUSDT,long,2023-10-04,27461.119985000005,2023-10-04,27588.555,target,316.2368308473794,0.004640561458149062,12,46.28189491859907,0.01
BTCUSDT,long,2023-10-06,27530.503905,2023-10-06,27649.0641,target,294.83387008346426,0.0043065029034381475,35,53.2813811264799,0.01
BTCUSDT,long,2023-10-10,27672.68686,2023-10-10,27568.585000000003,stop,-258.6580886555171,-0.0037618992520193073,19,30.886696821034484,0.01
BTCUSDT,long,2023-11-03,34647.0928,2023-11-03,34350.26719500001,stop,-586.8358174575246,-0.008567114323658087,2,106.89493918558358,0.01
BTCUSDT,long,2023-11-03,34391.44991,2023-11-03,34688.019804999996,target,585.6281561380887,0.008623361206814284,8,113.5327773648862,0.01
BTCUSDT,long,2023-11-03,34694.824290000004,2023-11-04,34546.692115,trailing,-292.4550338688979,-0.00426957559323049,24,79.89631319961663,0.01
BTCUSDT,long,2023-11-07,35001.44353,2023-11-07,34832.81229,stop,-328.60052171679814,-0.0048178367230899966,3,64.69878628132616,0.01
BTCUSDT,long,2023-11-07,34842.185000000005,2023-11-07,34607.810300000005,stop,-456.5875879766674,-0.006726750919897828,6,82.94652596123333,0.01
BTCUSDT,long,2023-11-14,36679.747215,2023-11-14,36427.676400000004,stop,-463.3228565463144,-0.006872206984483098,17,76.84919981982057,0.01
BTCUSDT,long,2023-11-18,36527.16869,2023-11-18,36396.972525000005,stop,-238.65734855556525,-0.0035643650923220527,3,46.46585080175001,0.01
BTCUSDT,long,2023-11-18,36537.90477,2023-11-18,36750.35166,target,387.92575896271074,0.00581442453630876,7,55.80327290694552,0.01
BTCUSDT,long,2023-11-19,36540.73901500001,2023-11-19,36486.84751000001,trailing,-98.96980746903583,-0.0014748334722479717,27,48.05281708138209,0.01
BTCUSDT,long,2023-11-19,36547.368945,2023-11-19,36356.493335,stop,-349.95570314461895,-0.005222690866947266,5,52.27382230464316,0.01
BTCUSDT,long,2023-11-21,37030.50256,2023-11-21,36773.327145,trailing,-462.9290861000407,-0.006944961510670811,7,179.5806074679417,0.01
BTCUSDT,long,2023-11-27,37475.639265000005,2023-11-27,37278.927605000004,stop,-347.45534594147756,-0.005249054155127331,4,82.24076425195231,0.01
BTCUSDT,long,2023-12-11,42464.611515000004,2023-12-11,42101.21331,trend_reversal,-491.7005486454529,-0.008557671718523507,2,323.94566872076786,0.01
BTCUSDT,long,2024-01-03,43064.51001500001,2024-01-03,43207.97068,trend_reversal,166.72302109554593,0.0033312968137806376,1,374.34509672410724,0.01
BTCUSDT,long,2024-01-06,43767.553,2024-01-06,43711.024965000004,trailing,-84.6243237015652,-0.0012915511863319518,47,129.7630428443902,0.01
BTCUSDT,long,2024-01-10,45614.719600000004,2024-01-10,45480.23716,trailing,-176.0625873884415,-0.0029482246340500895,17,332.71976435542103,0.01
BTCUSDT,long,2024-01-12,46052.565385,2024-01-12,45684.29062,trailing,-521.8796586163285,-0.007996834962856525,15,210.71417367214423,0.01
BTCUSDT,long,2024-01-31,42745.131665,2024-01-31,42485.29632,stop,-393.5291089514234,-0.006078712004828235,3,125.07348403956182,0.01
BTCUSDT,long,2024-02-04,42966.353,2024-02-04,42887.581985000004,trailing,-117.96556065397724,-0.0018333186202701413,21,61.13488134745887,0.01
BTCUSDT,long,2024-02-05,42828.786960000005,2024-02-05,42585.036485000004,stop,-365.53591358209616,-0.0056912766459543684,4,100.18765252486753,0.01
BTCUSDT,long,2024-02-05,42564.861665000004,2024-02-06,42588.012015,trend_reversal,34.733451395266364,0.0005438840652696175,10,131.7877526984953,0.01
BTCUSDT,long,2024-02-06,42873.4138,2024-02-06,42785.295645000006,trailing,-131.32731852924152,-0.0020553099739399894,14,77.01131936900123,0.01
BTCUSDT,long,2024-02-21,51423.409585,2024-02-21,50869.581000000006,stop,-686.7500779078584,-0.01076997012585379,3,219.47052597245673,0.01
BTCUSDT,long,2024-02-21,51392.963985,2024-02-22,51299.91453000001,trailing,-114.20672522705652,-0.0018105485223065543,17,190.50326446074646,0.01
BTCUSDT,long,2024-02-22,51451.061,2024-02-22,51917.586630000005,target,570.9205289674093,0.009067366560234769,24,176.0099677546539,0.01
BTCUSDT,long,2024-02-23,51264.64179,2024-02-23,50839.63598500001,stop,-526.7342791615231,-0.008290427674126466,1,139.4346788869823,0.01
BTCUSDT,long,2024-02-24,51244.13107,2024-02-24,51050.998465000004,stop,-237.47102016239972,-0.0037688726682900686,1,58.70587303736974,0.01
BTCUSDT,long,2024-03-05,64054.247465,2024-03-06,66381.38833500001,time_stop,870.4697828615924,0.036330781518767896,96,1117.0844877755947,0.01
