variant,pair,direction,entry_ts,entry_price_a,entry_price_b,exit_ts,exit_price_a,exit_price_b,pnl_pct,bars_held,z_at_entry,z_at_exit,funding_at_entry,exit_reason
A,BTCUSDT/ETHUSDT,short_a_long_b,2023-06-24T21:00:00,30414.29,1865.5,2023-06-24T21:15:00,30497.99,1872.49,-0.0014050111319859203,2,3.4213259767233453,2.596559918211293,0.0001,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2023-06-24T21:30:00,30554.89,1876.52,2023-06-24T21:45:00,30513.78,1875.18,-0.0017686402913959375,2,2.328895478629632,1.9152868886898402,0.0001,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2023-06-24T22:00:00,30529.25,1875.54,2023-06-24T22:15:00,30525.15,1874.54,-0.0027988823414919904,2,2.0698724519835867,2.2473333898587002,0.0001,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2023-06-24T23:15:00,30554.56,1875.99,2023-06-24T23:30:00,30507.51,1873.74,-0.0020594983808352317,2,2.1553151915890907,1.893860571074465,0.0001,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2023-06-25T00:30:00,30478.11,1870.49,2023-06-25T00:45:00,30513.23,1872.88,-0.0022745623655338475,2,2.116236498841457,1.9822470802269376,0.0001,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2023-06-25T01:00:00,30566.0,1875.5,2023-06-25T01:15:00,30604.33,1878.74,-0.0019264683981499585,2,2.093692701059229,1.7914598441412606,0.0001,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2023-06-25T02:00:00,30607.99,1877.34,2023-06-25T03:30:00,30717.18,1889.96,0.0007549080907744555,7,2.086252143138833,0.33989627938284145,0.0001,z_mean_revert
A,BTCUSDT/ETHUSDT,long_a_short_b,2023-06-25T04:15:00,30909.55,1911.4,2023-06-25T04:30:00,30930.53,1907.38,0.00038192507535812726,2,-2.2099960610910774,-0.7955104794856261,0.0001,confluence_lost
A,BTCUSDT/ETHUSDT,long_a_short_b,2023-06-25T05:15:00,30864.47,1912.6,2023-06-25T05:30:00,30896.15,1916.55,-0.003438828551380044,2,-2.991656074387153,-3.26581565610474,0.0001,confluence_lost
A,BTCUSDT/ETHUSDT,long_a_short_b,2023-06-25T05:45:00,30858.56,1911.73,2023-06-25T06:00:00,30782.76,1912.28,-0.005144066200984995,2,-2.573172689230804,-3.473756664306714,0.0001,confluence_lost
A,BTCUSDT/ETHUSDT,long_a_short_b,2023-06-25T06:15:00,30944.01,1927.27,2023-06-25T06:30:00,30851.89,1921.57,-0.002419438375781777,2,-4.061507166715289,-3.720311668630875,0.0001,regime_break
A,BTCUSDT/ETHUSDT,long_a_short_b,2023-06-25T06:45:00,30872.66,1920.07,2023-06-25T07:00:00,30814.2,1919.58,-0.004038385780140638,2,-3.034569984047409,-3.3143240940274907,0.0001,confluence_lost
A,BTCUSDT/ETHUSDT,long_a_short_b,2023-06-25T07:15:00,30736.73,1912.53,2023-06-25T07:30:00,30713.88,1911.82,-0.002772174238901679,2,-2.806087491171449,-2.763843593106764,0.0001,confluence_lost
A,BTCUSDT/ETHUSDT,long_a_short_b,2023-06-25T07:45:00,30723.78,1911.81,2023-06-25T08:00:00,30747.98,1914.96,-0.0032599897738492677,2,-2.5513798522031665,-2.6493801693001524,0.0001,confluence_lost
A,BTCUSDT/ETHUSDT,long_a_short_b,2023-06-25T08:15:00,30741.33,1916.7,2023-06-25T08:45:00,30735.93,1916.39,-0.002413922965817481,3,-2.7874034384596937,-2.5486922438558537,0.0001,confluence_lost
A,BTCUSDT/ETHUSDT,long_a_short_b,2023-06-25T09:00:00,30701.77,1913.21,2023-06-25T11:45:00,30716.03,1918.37,-0.004632569627163893,12,-2.327949930760188,-1.7662125123114523,0.0001,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2023-06-26T16:45:00,30100.47,1852.54,2023-06-26T17:00:00,30020.28,1845.49,-0.0035415078415314415,2,4.269943777295477,4.338075564288752,0.0001,regime_break
A,BTCUSDT/ETHUSDT,short_a_long_b,2023-06-26T17:15:00,30129.4,1852.69,2023-06-26T17:30:00,30078.48,1848.6,-0.0029175572279725314,2,3.92566944807611,3.843299769248011,0.0001,regime_break
A,BTCUSDT/ETHUSDT,short_a_long_b,2023-06-26T17:45:00,30084.63,1846.81,2023-06-26T18:00:00,30103.43,1847.45,-0.0026783603136788935,2,3.8800527628841803,3.6575196161038708,0.0001,regime_break
A,BTCUSDT/ETHUSDT,short_a_long_b,2023-06-26T18:15:00,30102.2,1845.85,2023-06-26T18:30:00,30180.62,1850.63,-0.0024155323363022484,2,3.597257488716162,3.3463427210090435,0.0001,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2023-06-26T18:45:00,30213.36,1850.61,2023-06-26T19:00:00,30089.67,1843.97,-0.001894121822007142,2,3.3745244095179667,3.0517595368182184,0.0001,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2023-06-26T19:15:00,30139.53,1846.15,2023-06-26T20:30:00,30166.0,1851.7,-0.00027199233606527195,6,2.9792388091097064,2.043709345576853,0.0001,confluence_lost
A,BTCUSDT/ETHUSDT,long_a_short_b,2023-06-27T16:30:00,30722.22,1899.83,2023-06-27T16:45:00,30710.65,1909.06,-0.007634929818379474,2,-2.2512382173784795,-3.8250671048107883,0.0001,regime_break
A,BTCUSDT/ETHUSDT,long_a_short_b,2023-06-27T17:00:00,30632.05,1902.32,2023-06-27T20:15:00,30578.66,1886.92,0.003952432569388445,14,-3.256882973898897,-0.7673084314642353,0.0001,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2023-06-28T19:15:00,30028.89,1831.65,2023-06-28T19:30:00,29993.99,1826.16,-0.004235083397496162,2,2.324732472767104,2.8791415395526183,4.598e-05,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2023-06-28T19:45:00,30100.0,1832.45,2023-06-28T20:00:00,29990.01,1825.75,-0.0024021543058785765,2,2.8239480597844153,2.727712400205674,4.598e-05,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2023-06-28T20:15:00,30040.73,1829.29,2023-06-28T21:00:00,30052.57,1826.97,-0.004062383184122928,4,2.5545155982459584,2.8309644436669394,4.598e-05,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2023-06-28T21:15:00,30098.57,1828.99,2023-06-28T22:45:00,30105.94,1827.8,-0.0032954944475202396,7,2.8488828273231563,2.4745130710037557,4.598e-05,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2023-06-29T17:30:00,30566.04,1852.01,2023-06-29T17:45:00,30543.33,1850.4,-0.002526344333134298,2,2.075591957475138,2.1551670895855994,0.0001,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2023-06-29T18:00:00,30525.99,1849.98,2023-06-29T19:00:00,30518.01,1852.61,-0.000716946426280438,5,2.004874446579857,1.172393785938886,0.0001,confluence_lost
A,BTCUSDT/ETHUSDT,long_a_short_b,2023-06-30T04:45:00,30877.99,1887.39,2023-06-30T05:00:00,30937.99,1893.4,-0.003641159873775155,2,-2.707463048839737,-3.1750143888578113,0.0001,confluence_lost
A,BTCUSDT/ETHUSDT,long_a_short_b,2023-06-30T05:15:00,30897.99,1892.94,2023-06-30T06:00:00,30706.07,1879.34,-0.0014268161141776513,4,-3.448288429450606,-2.5262698275435334,0.0001,confluence_lost
A,BTCUSDT/ETHUSDT,long_a_short_b,2023-06-30T06:15:00,30647.15,1877.08,2023-06-30T07:00:00,30741.27,1880.65,-0.0012308052565593174,4,-2.6894074815602305,-2.01681153901594,0.0001,confluence_lost
A,BTCUSDT/ETHUSDT,long_a_short_b,2023-06-30T07:30:00,30759.99,1884.41,2023-06-30T07:45:00,30765.09,1887.8,-0.004033171767567276,2,-2.389593362729209,-2.826969947295595,0.0001,confluence_lost
A,BTCUSDT/ETHUSDT,long_a_short_b,2023-06-30T08:00:00,30738.53,1886.42,2023-06-30T08:15:00,30793.1,1886.99,-0.0009268633000021763,2,-2.7278671664641734,-2.1558456254470046,0.0001,confluence_lost
A,BTCUSDT/ETHUSDT,long_a_short_b,2023-06-30T08:30:00,30855.28,1891.61,2023-06-30T08:45:00,30854.0,1889.49,-0.0013207455672892697,2,-2.2102380109834994,-1.8134931580785045,0.0001,confluence_lost
A,BTCUSDT/ETHUSDT,long_a_short_b,2023-06-30T10:00:00,30816.61,1889.91,2023-06-30T10:15:00,30787.99,1889.39,-0.003053574556534697,2,-2.0014870557536284,-2.113299392646391,0.0001,confluence_lost
A,BTCUSDT/ETHUSDT,long_a_short_b,2023-06-30T10:30:00,30794.46,1889.79,2023-06-30T11:00:00,30820.69,1891.47,-0.002437211079507715,3,-2.0432140332022146,-1.9208515085177398,0.0001,confluence_lost
A,BTCUSDT/ETHUSDT,long_a_short_b,2023-06-30T12:45:00,31010.11,1906.66,2023-06-30T13:00:00,30975.39,1904.7,-0.0024916592322760532,2,-2.1537595858911507,-2.1004634005543847,0.0001,confluence_lost
A,BTCUSDT/ETHUSDT,long_a_short_b,2023-06-30T13:45:00,30135.62,1855.36,2023-06-30T14:30:00,30079.27,1849.0,-0.0008419740535724894,4,-2.190551205725958,-1.697554242986464,0.0001,confluence_lost
A,BTCUSDT/ETHUSDT,long_a_short_b,2023-06-30T16:00:00,30016.46,1854.91,2023-06-30T16:15:00,30135.92,1863.4,-0.0029972250663124343,2,-2.4885287342917195,-2.49975957341281,0.0001,confluence_lost
A,BTCUSDT/ETHUSDT,long_a_short_b,2023-06-30T16:30:00,30380.0,1885.75,2023-06-30T16:45:00,30400.53,1898.49,-0.008480159117570094,2,-3.068824193141519,-3.842913254463092,0.0001,regime_break
A,BTCUSDT/ETHUSDT,long_a_short_b,2023-06-30T17:00:00,30462.57,1917.3,2023-06-30T17:15:00,30547.27,1923.8,-0.003009722714053795,2,-4.577568781456751,-4.195403839855892,0.0001,regime_break
A,BTCUSDT/ETHUSDT,long_a_short_b,2023-06-30T17:30:00,30611.46,1946.14,2023-06-30T17:45:00,30455.8,1931.8,-0.00011659184307492897,2,-4.791843525790045,-4.0713365005300215,0.0001,regime_break
A,BTCUSDT/ETHUSDT,long_a_short_b,2023-06-30T18:00:00,30428.35,1929.18,2023-06-30T18:15:00,30424.99,1927.03,-0.001395960198981625,2,-3.693931944190309,-3.3430542733441837,0.0001,confluence_lost
A,BTCUSDT/ETHUSDT,long_a_short_b,2023-06-30T18:30:00,30329.82,1917.21,2023-06-30T20:15:00,30491.74,1931.23,-0.004374069292854485,8,-2.9696409265646198,-2.2773038340020455,0.0001,confluence_lost
A,BTCUSDT/ETHUSDT,long_a_short_b,2023-06-30T20:30:00,30417.99,1927.39,2023-06-30T21:15:00,30436.35,1932.0,-0.0041882454130868635,4,-2.2248388307975695,-2.127996851268797,0.0001,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2023-07-02T04:45:00,30527.67,1913.41,2023-07-02T05:00:00,30521.99,1913.19,-0.002328917259787053,2,2.049878316666601,1.947934871055386,0.0001,confluence_lost
A,BTCUSDT/ETHUSDT,long_a_short_b,2023-07-02T14:45:00,30590.23,1925.81,2023-07-02T15:15:00,30470.05,1913.99,-0.0001910282082839142,3,-2.662486782843634,-0.06243610742227445,0.0001,z_mean_revert
A,BTCUSDT/ETHUSDT,long_a_short_b,2023-07-02T15:30:00,30471.99,1918.19,2023-07-02T16:00:00,30552.01,1918.99,-0.00019104164328313843,3,-2.390775502894368,0.03747335824481789,0.0001,z_mean_revert
A,BTCUSDT/ETHUSDT,short_a_long_b,2023-07-02T17:00:00,30574.38,1916.8,2023-07-02T17:15:00,30545.32,1914.2,-0.0028059583915315688,2,2.0089045191723836,2.375488814593032,0.0001,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2023-07-02T17:45:00,30441.2,1907.27,2023-07-02T19:00:00,30539.51,1912.35,-0.0029660119043457976,6,2.4608962821637257,2.4238493884259595,0.0001,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2023-07-02T19:15:00,30555.16,1912.85,2023-07-02T19:30:00,30551.76,1913.66,-0.001865273914936225,2,2.5199246025017707,2.0164063457928143,0.0001,confluence_lost
A,BTCUSDT/ETHUSDT,long_a_short_b,2023-07-02T22:15:00,30694.0,1949.84,2023-07-02T22:30:00,30571.8,1934.39,0.0015424929576248326,2,-6.593803423820986,-3.9468423531400303,0.0001,regime_break
A,BTCUSDT/ETHUSDT,long_a_short_b,2023-07-02T22:45:00,30651.29,1942.05,2023-07-02T23:00:00,30609.13,1940.76,-0.0031112257448411705,2,-4.1766887975284215,-4.0648591248579615,0.0001,regime_break
A,BTCUSDT/ETHUSDT,long_a_short_b,2023-07-02T23:15:00,30602.0,1937.21,2023-07-02T23:30:00,30598.46,1934.83,-0.001287107727700618,2,-3.174761558292583,-2.604266378630269,0.0001,confluence_lost
A,BTCUSDT/ETHUSDT,long_a_short_b,2023-07-02T23:45:00,30617.03,1937.48,2023-07-03T00:00:00,30653.99,1940.54,-0.0027721998388659384,2,-2.7673855297736454,-2.7677029321910056,0.0001,confluence_lost
A,BTCUSDT/ETHUSDT,long_a_short_b,2023-07-03T00:15:00,30665.65,1939.86,2023-07-03T00:30:00,30603.96,1935.27,-0.0020455469923699597,2,-2.4004306302977487,-2.1941462701872516,0.0001,confluence_lost
A,BTCUSDT/ETHUSDT,long_a_short_b,2023-07-03T01:00:00,30651.41,1938.31,2023-07-03T01:15:00,30689.95,1941.57,-0.002824512842495117,2,-2.078011696812012,-2.140950260478225,0.0001,confluence_lost
A,BTCUSDT/ETHUSDT,long_a_short_b,2023-07-03T01:30:00,30690.77,1947.99,2023-07-03T01:45:00,30660.86,1944.99,-0.00183451113034365,2,-3.0025007937109005,-2.6906204200703616,0.0001,confluence_lost
A,BTCUSDT/ETHUSDT,long_a_short_b,2023-07-03T02:00:00,30712.95,1948.88,2023-07-03T02:15:00,30754.99,1949.94,-0.0015750984255725052,2,-2.6450056227764285,-2.317007449084132,0.0001,confluence_lost
