bar,equity
681,51182.075924
682,51455.121734
683,50783.404549
684,49992.968958
685,48876.251381
686,48875.499439
687,48875.499439
688,48875.499439
689,48875.499439
690,48875.499439
691,48875.499439
692,48875.499439
693,48875.499439
694,48875.499439
695,48875.499439
696,48875.499439
697,48875.499439
698,48875.499439
699,48556.216306
700,48355.567792
701,48968.854901
702,48882.613719
703,49161.314838
704,49636.138645
705,48982.052697
706,49972.712790
707,49782.480359
708,49595.340006
709,49583.828087
710,48176.239769
711,48398.045957
712,47316.034137
713,47722.906150
714,47745.860225
715,47945.010401
716,47965.274393
717,47718.591031
718,47562.203414
719,46207.651326
720,46207.231257
721,46207.231257
722,46207.231257
723,46207.231257
724,46207.231257
725,46207.231257
726,46207.231257
727,46207.231257
728,46207.231257
729,46749.952165
730,46981.745082
731,47226.762700
732,47135.004332
733,47031.069660
734,47094.382313
735,46648.063259
736,45838.501554
737,45970.916831
738,46236.673479
739,46750.682001
740,47425.524425
741,46986.318814
742,48822.464235
743,48568.368301
744,48579.081375
745,48449.418306
746,48305.746340
747,45282.090034
748,45050.624990
749,45357.019066
750,45326.137637
751,45060.953732
752,44169.065118
753,44372.385471
754,44391.679747
755,44449.961602
756,44063.058416
757,44110.242711
758,44378.925174
759,44436.448159
760,44271.171408
761,43482.239945
762,43481.984167
763,43481.984167
764,43481.984167
765,43481.984167
766,43481.984167
767,43481.984167
768,43481.984167
769,43481.984167
770,43481.984167
771,43481.984167
772,43481.984167
773,43481.984167
774,43481.984167
775,43481.984167
776,43481.984167
777,43481.984167
778,43481.984167
779,43481.984167
780,43481.984167
781,43481.984167
782,43481.984167
783,43481.984167
784,43481.984167
785,43481.984167
786,43481.984167
787,43481.984167
788,43481.984167
789,43860.956059
790,43384.330630
791,43729.810683
792,46781.518238
793,45707.830924
794,47203.255100
795,46733.486031
796,46091.292696
797,44862.432654
798,45858.091042
799,45354.282326
800,44316.099128
801,43822.239684
802,44540.699828
803,45885.715733
804,44937.591311
805,45453.895411
806,46408.410675
807,46005.212136
808,46926.964252
809,47843.226431
810,46298.602565
811,44860.610824
812,45285.200425
813,44904.179149
814,44740.368406
815,45108.384788
816,46218.083454
817,46153.494720
818,46377.111946
819,45943.968565
820,45627.098281
821,46608.808376
822,45455.254227
823,45445.184330
824,45277.293585
825,43600.546791
826,44169.909089
827,42691.101849
828,43553.490933
829,43519.348580
830,43821.841300
831,45121.059817
832,44445.822111
833,45023.443381
834,45099.184195
835,45150.702028
836,45791.571905
837,43702.436624
838,43860.162093
839,43652.314127
840,43842.452404
841,44080.337795
842,43893.773805
843,44115.775965
844,44139.528311
845,43998.527053
846,43977.821226
847,44014.096426
848,44013.949712
849,44013.949712
850,44013.949712
851,44013.949712
852,44013.949712
853,44013.949712
854,44013.949712
855,44013.949712
856,44013.949712
857,44013.949712
858,44013.949712
859,44013.949712
860,44013.949712
861,44013.949712
862,44013.949712
863,44386.260637
864,45167.377265
865,44332.707899
866,43588.156588
867,44041.740637
868,43746.440809
869,43541.989627
870,43669.074079
871,43168.605850
872,40703.174138
873,40702.434081
874,40702.434081
875,40702.434081
876,40702.434081
877,40619.954251
878,40768.835568
879,40609.484508
880,40376.776928
881,39751.909437
882,40619.820876
883,40624.368442
884,40792.980513
885,41299.646775
886,41261.215381
887,41228.958568
888,40862.148786
889,41026.761109
890,41441.115159
891,41330.548931
892,41129.609883
893,41706.157731
894,43230.924156
895,43866.525663
896,43743.969225
897,43968.427605
898,44079.992638
899,45947.997671
900,45845.090860
901,45286.046918
902,45470.753523
903,45696.558246
904,44441.547257
905,44613.644929
906,44334.952365
907,44347.370244
908,44531.826356
909,43187.094525
910,41832.999272
911,41739.812806
912,41664.930643
913,41944.564663
914,42244.911169
915,41715.069644
916,41840.681404
917,42114.593790
918,41962.305379
919,41647.683244
920,40461.303441
921,40479.392400
922,40196.519432
923,40744.803118
924,40234.907723
925,40601.433850
926,40577.271692
927,40816.555188
928,40665.945358
929,41401.292566
930,41153.741188
931,40967.981067
932,41021.047621
