variant,symbol,direction,entry_ts,entry_price,exit_ts,exit_price,pnl_pct,bars_held,exit_reason,poc_dist_at_entry,funding_z_at_entry
vpvr_funding_reset_window_1h_20260715,BTCUSDT,short,2022-08-13T03:00:00,24796.530000,2022-08-13T08:00:00,24404.680000,0.014603,6,tp_atr,1.374,-1.722
vpvr_funding_reset_window_1h_20260715,BTCUSDT,short,2022-08-15T03:00:00,24867.390000,2022-08-15T06:00:00,24135.230000,0.028243,4,tp_atr,1.403,-1.469
vpvr_funding_reset_window_1h_20260715,BTCUSDT,long,2022-08-17T17:00:00,23472.130000,2022-08-17T22:00:00,23346.860000,-0.006537,6,time_stop,-2.595,4.130
vpvr_funding_reset_window_1h_20260715,BTCUSDT,long,2022-08-18T01:00:00,23470.730000,2022-08-18T06:00:00,23354.900000,-0.006135,6,time_stop,-1.892,2.245
vpvr_funding_reset_window_1h_20260715,BTCUSDT,long,2022-08-18T09:00:00,23533.670000,2022-08-18T14:00:00,23421.500000,-0.005966,6,time_stop,-1.874,2.178
vpvr_funding_reset_window_1h_20260715,BTCUSDT,long,2022-08-19T00:00:00,22931.290000,2022-08-19T01:00:00,22761.810000,-0.008591,2,sl_atr,-3.033,1.554
vpvr_funding_reset_window_1h_20260715,BTCUSDT,long,2022-08-19T04:00:00,22789.260000,2022-08-19T06:00:00,21907.820000,-0.039878,3,sl_atr,-4.425,1.439
vpvr_funding_reset_window_1h_20260715,BTCUSDT,short,2022-08-22T04:00:00,21466.720000,2022-08-22T07:00:00,21097.720000,0.015989,4,tp_atr,1.340,-1.385
vpvr_funding_reset_window_1h_20260715,BTCUSDT,long,2022-08-26T00:00:00,21477.120000,2022-08-26T05:00:00,21404.250000,-0.004593,6,time_stop,-1.665,1.522
vpvr_funding_reset_window_1h_20260715,BTCUSDT,long,2022-08-26T09:00:00,21438.220000,2022-08-26T11:00:00,21189.770000,-0.012789,3,sl_atr,-2.164,1.221
vpvr_funding_reset_window_1h_20260715,BTCUSDT,short,2022-08-29T15:00:00,20262.280000,2022-08-29T20:00:00,20175.810000,0.003068,6,time_stop,1.701,-1.252
vpvr_funding_reset_window_1h_20260715,BTCUSDT,long,2022-08-31T16:00:00,20040.390000,2022-08-31T21:00:00,20280.540000,0.010783,6,time_stop,-1.394,2.027
vpvr_funding_reset_window_1h_20260715,BTCUSDT,long,2022-08-31T23:00:00,20050.020000,2022-09-01T04:00:00,20055.590000,-0.000922,6,time_stop,-1.375,1.552
vpvr_funding_reset_window_1h_20260715,BTCUSDT,long,2022-09-01T07:00:00,19895.660000,2022-09-01T12:00:00,19995.740000,0.003830,6,time_stop,-2.425,1.860
vpvr_funding_reset_window_1h_20260715,BTCUSDT,long,2022-09-03T09:00:00,19796.830000,2022-09-03T14:00:00,19816.750000,-0.000194,6,time_stop,-2.029,1.776
vpvr_funding_reset_window_1h_20260715,BTCUSDT,short,2022-09-19T13:00:00,19107.190000,2022-09-19T18:00:00,19159.540000,-0.003940,6,time_stop,1.402,-3.396
vpvr_funding_reset_window_1h_20260715,BTCUSDT,long,2022-09-27T15:00:00,19887.730000,2022-09-27T16:00:00,19110.790000,-0.040266,2,sl_atr,-1.678,2.229
vpvr_funding_reset_window_1h_20260715,BTCUSDT,short,2022-09-28T15:00:00,19487.790000,2022-09-28T20:00:00,19568.230000,-0.005328,6,time_stop,1.705,-1.423
vpvr_funding_reset_window_1h_20260715,BTCUSDT,long,2022-10-10T19:00:00,19211.590000,2022-10-11T00:00:00,19045.220000,-0.009860,6,sl_atr,-1.674,1.368
vpvr_funding_reset_window_1h_20260715,BTCUSDT,long,2022-10-11T03:00:00,19044.740000,2022-10-11T08:00:00,19106.640000,0.002050,6,time_stop,-2.438,1.368
vpvr_funding_reset_window_1h_20260715,BTCUSDT,long,2022-10-11T13:00:00,18991.200000,2022-10-11T18:00:00,18976.090000,-0.001996,6,time_stop,-1.391,1.368
vpvr_funding_reset_window_1h_20260715,BTCUSDT,long,2022-10-11T19:00:00,18999.250000,2022-10-12T00:00:00,19092.170000,0.003691,6,time_stop,-1.225,1.310
vpvr_funding_reset_window_1h_20260715,BTCUSDT,short,2022-10-13T19:00:00,19369.940000,2022-10-14T00:00:00,19407.660000,-0.003147,6,time_stop,1.381,-1.980
vpvr_funding_reset_window_1h_20260715,BTCUSDT,short,2022-10-14T03:00:00,19816.850000,2022-10-14T08:00:00,19616.730000,0.008898,6,time_stop,3.867,-2.386
vpvr_funding_reset_window_1h_20260715,BTCUSDT,short,2022-10-17T05:00:00,19272.200000,2022-10-17T10:00:00,19398.460000,-0.007751,6,sl_atr,1.617,-1.454
vpvr_funding_reset_window_1h_20260715,BTCUSDT,long,2022-10-18T15:00:00,19375.010000,2022-10-18T18:00:00,19220.870000,-0.009156,4,sl_atr,-1.230,1.623
vpvr_funding_reset_window_1h_20260715,BTCUSDT,long,2022-10-18T19:00:00,19216.210000,2022-10-19T00:00:00,19234.000000,-0.000274,6,time_stop,-2.514,1.573
vpvr_funding_reset_window_1h_20260715,BTCUSDT,long,2022-10-19T09:00:00,19268.160000,2022-10-19T12:00:00,19163.190000,-0.006648,4,sl_atr,-2.545,1.356
