,equal_weight,risk_parity,correlation_off
2024-11-01,135015.61123017917,131391.64921331496,128117.17058236005
2024-11-02,134549.1509597106,131102.5522500109,127874.53705986337
2024-11-03,134619.56289789846,131289.49962609063,128078.24786555367
2024-11-04,134767.46977887666,131347.05948975345,128092.58204772642
2024-11-05,135093.52380829715,131676.77396149104,128421.43922338088
2024-11-06,134890.6530744378,131315.98904908937,128018.25813901502
2024-11-07,135001.63270821297,131569.86521627408,128363.6932903385
2024-11-08,134802.93282852872,131468.03917404477,128260.56808180737
2024-11-09,135149.00121081292,131737.93339514072,128520.14043071929
2024-11-10,135401.4467644589,131759.30198535978,128459.83310162085
2024-11-11,134309.1737226573,130779.06218196175,127532.10081929625
2024-11-12,135506.41889296856,131798.11182092756,128541.9648756859
2024-11-13,136144.84008835832,132432.25599651734,129124.81741676964
2024-11-14,136832.7926596275,132964.5918309831,129592.11672248019
2024-11-15,137474.09276024986,133453.23594255606,129969.48515170388
2024-11-16,138492.88644702686,134181.91901266848,130585.23585600201
2024-11-17,137484.64729362575,133502.3163176575,130005.14786738291
2024-11-18,137925.30601047102,133824.2308820095,130282.61149173461
2024-11-19,139020.84558202393,134721.70614749833,131106.81115557151
2024-11-20,139464.5490821876,134911.70342029294,131226.38180012142
2024-11-21,139651.9430697094,135002.8975473046,131269.99971161512
2024-11-22,140229.55603650986,135218.0391324925,131362.71550396536
2024-11-23,141859.50457133687,136535.47273211545,132418.8888478675
2024-11-24,141517.45055339125,136214.5625637125,132067.93517944618
2024-11-25,141939.5757465087,136550.4576232334,132370.93515452862
2024-11-26,142145.6875600714,136751.9974049101,132520.2603704184
2024-11-27,143108.83699279005,137488.90488852703,133168.1222002639
2024-11-28,143537.25920728425,137768.0582648632,133404.961045711
2024-11-29,144019.12270981082,138298.3359389903,133881.55445785547
2024-11-30,144352.61454656863,138310.794393649,133795.52419181642
2024-12-01,144669.32187132363,138596.4171629917,134082.73615829129
2024-12-02,145271.21425158635,138933.04897223448,134354.96154889808
2024-12-03,145352.16778010587,139141.18976000842,134544.72357653987
2024-12-04,147002.41831006587,140497.27538446998,135733.9040939733
2024-12-05,147352.22213395368,140898.23876328307,136196.79298776572
2024-12-06,146598.05046997205,140515.86052411475,135927.54134393524
2024-12-07,147090.35347766848,140883.12325176722,136240.79800358578
2024-12-08,147432.50646917062,141170.9552289809,136509.91378294898
2024-12-09,147775.3776064061,141213.52372100772,136401.60186646215
2024-12-10,147632.75485346594,141225.913746284,136479.45864016336
2024-12-11,148118.01443219165,141600.00246936365,136798.70819049858
2024-12-12,148076.1491340039,141464.1707328259,136615.260578275
2024-12-13,147886.12829539282,141454.98690807918,136677.2481369457
2024-12-14,147117.0168841748,140957.38052278708,136249.35646494088
2024-12-15,147329.06784323935,141247.99319986213,136525.49423434923
2024-12-16,147016.6188671563,141036.9387361856,136376.15765596286
2024-12-17,146600.747557914,140770.16667230113,136144.31115015817
2024-12-18,147640.77959569666,141574.80102384393,136870.21381789993
2024-12-19,148483.4822974594,142168.06352818196,137379.01218478824
2024-12-20,148124.28399817707,142158.6398914075,137500.60680387303
2024-12-21,147074.43656919245,141668.8930770627,137111.43386538248
2024-12-22,147773.22266087565,142257.83887067018,137630.4761930634
2024-12-23,146938.1500891068,141642.79494024397,137116.7519103509
2024-12-24,147399.30921874204,142142.82939384747,137576.32161996962
2024-12-25,147093.4975335279,142064.67133616173,137549.5148992259
2024-12-26,148117.82021840158,142765.7896606075,138168.54732832836
2024-12-27,148640.92093656745,143139.5888576489,138507.92207038053
2024-12-28,148348.06214007622,143058.03384446824,138432.9129584321
2024-12-29,148434.18343474047,143005.83133575023,138328.66623068092
2024-12-30,148661.2752410831,143075.02953207362,138349.6107095758
2024-12-31,148485.06935289982,142840.39248545546,138091.7623208572
