bar,equity
681,56759.684938
682,56829.134823
683,56467.959308
684,56188.620854
685,55048.539474
686,55594.852441
687,55805.798937
688,57590.102847
689,57872.177589
690,58024.080449
691,58088.461616
692,57914.260174
693,55184.610202
694,54758.264223
695,54527.359532
696,54851.481251
697,55959.057629
698,55828.278934
699,55817.836129
700,55612.672245
701,56151.539041
702,56306.700110
703,56371.124436
704,56795.322876
705,56452.832348
706,57236.929559
707,56884.956945
708,56579.776833
709,56684.256105
710,55446.770529
711,55806.317164
712,54837.133951
713,55213.943179
714,55305.077260
715,55301.387069
716,55205.694540
717,55040.604864
718,55038.249932
719,53838.553992
720,53838.314709
721,53838.314709
722,53838.314709
723,53838.314709
724,53838.314709
725,53838.314709
726,53838.314709
727,53838.314709
728,53838.314709
729,53838.314709
730,53838.314709
731,53838.314709
732,53838.314709
733,53838.314709
734,53838.314709
735,53838.314709
736,53838.314709
737,53838.314709
738,53838.314709
739,53838.314709
740,53838.314709
741,53838.314709
742,53838.314709
743,53838.314709
744,53838.314709
745,53838.314709
746,53838.314709
747,53838.314709
748,53838.314709
749,53838.314709
750,53838.314709
751,53838.314709
752,53838.314709
753,53838.314709
754,53836.102485
755,53851.587494
756,53547.105086
757,53712.666855
758,53915.428383
759,53771.716149
760,53638.910481
761,53033.725421
762,51550.985444
763,51725.456752
764,52009.642724
765,51363.251325
766,51362.461121
767,51362.461121
768,51362.461121
769,51362.461121
770,51362.461121
771,51362.461121
772,51362.461121
773,51362.461121
774,51362.461121
775,51362.461121
776,51362.461121
777,51362.461121
778,51362.461121
779,51362.461121
780,51362.461121
781,51362.461121
782,51362.461121
783,51362.461121
784,51362.461121
785,51362.461121
786,51362.461121
787,51362.461121
788,51893.195696
789,52914.096699
790,52243.073839
791,52959.396263
792,55799.770553
793,55052.917945
794,55963.437072
795,55364.887001
796,54894.421828
797,53436.526520
798,53947.068574
799,53689.180640
800,53031.753988
801,52558.998722
802,53503.267981
803,54861.746413
804,54191.291166
805,54376.860514
806,55128.700226
807,54707.388991
808,55512.307284
809,57094.593111
810,55256.492789
811,53921.743451
812,54566.755077
813,54061.822951
814,53874.925358
815,54413.644232
816,55299.760895
817,55382.322690
818,55207.987488
819,54906.421701
820,54803.475514
821,55434.092540
822,54314.184887
823,54461.344539
824,54325.348645
825,52783.056033
826,53316.861433
827,52293.059685
828,53169.843633
829,53161.379660
830,53722.405704
831,55338.606142
832,54566.764474
833,55203.146160
834,54936.291899
835,55079.375379
836,55360.087406
837,53058.768760
838,53305.631354
839,53135.355729
840,53233.893953
841,53534.033844
842,53288.010151
843,53770.165653
844,53610.734858
845,53574.163966
846,53424.224470
847,53424.046389
848,53424.046389
849,53424.046389
850,53424.046389
851,53424.046389
852,53424.046389
853,53424.046389
854,53424.046389
855,53424.046389
856,53424.046389
857,53424.046389
858,53424.046389
859,53424.046389
860,53424.046389
861,53424.046389
862,53424.046389
863,53424.046389
864,54401.480753
865,53504.625262
866,52972.272933
867,53363.699276
868,53303.685520
869,53195.618783
870,53721.337115
871,53530.842246
872,52202.848630
873,52907.992309
874,52883.422295
875,52561.727612
876,52234.765798
877,52180.733372
878,52031.305715
879,51913.437139
880,51961.244956
881,51505.712764
882,51841.125755
883,51955.427666
884,51846.276579
885,52129.683528
886,52181.812690
887,52197.117206
888,52107.201490
889,52145.017542
890,52509.033244
891,52507.435776
892,52341.033343
893,52949.651960
894,54534.335731
895,55037.246892
896,55084.106816
897,55022.208664
898,55032.741919
899,56986.607448
900,57050.034638
901,56686.733063
902,57027.795596
903,57545.254418
904,56762.393568
905,57071.213561
906,56753.516568
907,56487.690487
908,56709.240099
909,55148.687574
910,54038.188591
911,53457.025413
912,53321.836850
913,53749.544375
914,54118.558565
915,54187.209189
916,54329.785206
917,54614.716076
918,54752.087358
919,54599.128397
920,53371.295550
921,52920.022561
922,53039.491162
923,53039.314363
924,53039.314363
925,53039.314363
926,53039.314363
927,53039.314363
928,53039.314363
929,53039.314363
930,53039.314363
931,53039.314363
932,53039.314363
