variant,symbol,direction,entry_ts,entry_price,exit_ts,exit_price,pnl_pct,pnl_price_pct,pnl_carry_pct,bars_held,exit_reason,funding_sum_24h_bps_at_entry,funding_vol_bps_at_entry,cum_carry_pct_at_exit
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2025-04-30T16:00:00+00:00,1786.690000,2025-05-10T12:00:00+00:00,2433.460000,0.359252,0.361793,-0.002542,60,time_stop,-0.745,0.538,-0.002542
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2025-05-19T08:00:00+00:00,2417.580000,2025-05-29T04:00:00+00:00,2731.280000,0.125416,0.129558,-0.004141,60,time_stop,-0.961,0.431,-0.004141
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2025-06-13T16:00:00+00:00,2527.720000,2025-06-21T16:00:00+00:00,2384.760000,-0.058842,-0.056757,-0.002086,49,hard_stop,-0.092,0.398,-0.002086
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2025-06-25T16:00:00+00:00,2432.790000,2025-07-05T12:00:00+00:00,2507.670000,0.028009,0.030579,-0.002571,60,time_stop,-0.002,0.349,-0.002571
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2025-08-01T08:00:00+00:00,3642.720000,2025-08-02T16:00:00+00:00,3383.200000,-0.071738,-0.071443,-0.000294,9,hard_stop,-0.104,0.419,-0.000294
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2025-09-01T12:00:00+00:00,4362.010000,2025-09-11T08:00:00+00:00,4429.800000,0.013540,0.015341,-0.001801,60,time_stop,-0.244,0.253,-0.001801
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2025-09-20T00:00:00+00:00,4465.520000,2025-09-22T00:00:00+00:00,4305.870000,-0.036071,-0.035952,-0.000119,13,hard_stop,-0.243,0.369,-0.000119
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2025-09-22T20:00:00+00:00,4199.080000,2025-09-25T04:00:00+00:00,4009.180000,-0.045242,-0.045424,0.000183,15,hard_stop,-0.056,0.320,0.000183
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2025-09-30T12:00:00+00:00,4119.870000,2025-10-10T08:00:00+00:00,4343.020000,0.050988,0.053964,-0.002976,60,time_stop,-0.261,0.518,-0.002976
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2025-10-12T04:00:00+00:00,3827.990000,2025-10-22T00:00:00+00:00,3859.570000,0.006570,0.008050,-0.001479,60,time_stop,-1.058,0.539,-0.001479
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2025-10-29T12:00:00+00:00,3951.710000,2025-10-30T16:00:00+00:00,3686.930000,-0.067211,-0.067204,-0.000007,8,hard_stop,-0.312,0.413,-0.000007
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2025-12-18T12:00:00+00:00,2965.190000,2025-12-28T08:00:00+00:00,2944.090000,-0.009589,-0.007316,-0.002273,60,time_stop,-0.659,0.297,-0.002273
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2026-01-26T04:00:00+00:00,2904.320000,2026-01-30T00:00:00+00:00,2741.110000,-0.057433,-0.056396,-0.001037,24,hard_stop,-0.562,0.450,-0.001037
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2026-01-30T12:00:00+00:00,2729.470000,2026-01-31T12:00:00+00:00,2534.200000,-0.071549,-0.071741,0.000192,7,hard_stop,-0.364,0.560,0.000192
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2026-02-01T12:00:00+00:00,2315.390000,2026-02-05T08:00:00+00:00,2079.980000,-0.100254,-0.101872,0.001618,24,hard_stop,-4.740,0.750,0.001618
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2026-02-05T12:00:00+00:00,1961.120000,2026-02-15T08:00:00+00:00,2061.960000,0.053949,0.051220,0.002729,60,time_stop,-1.386,0.614,0.002729
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2026-02-17T00:00:00+00:00,1985.700000,2026-02-23T00:00:00+00:00,1862.870000,-0.061652,-0.062057,0.000405,37,hard_stop,-2.705,0.610,0.000405
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2026-02-25T00:00:00+00:00,1906.140000,2026-03-06T20:00:00+00:00,1978.680000,0.038531,0.037856,0.000675,60,time_stop,-1.668,0.849,0.000675
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2026-03-08T20:00:00+00:00,1937.100000,2026-03-18T16:00:00+00:00,2185.850000,0.127814,0.128214,-0.000400,60,time_stop,-4.085,0.472,-0.000400
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2026-03-19T12:00:00+00:00,2118.810000,2026-03-27T08:00:00+00:00,1991.800000,-0.059741,-0.060144,0.000403,48,hard_stop,-0.211,0.351,0.000403
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2026-03-27T12:00:00+00:00,1991.320000,2026-04-06T08:00:00+00:00,2151.530000,0.081389,0.080254,0.001135,60,time_stop,-3.517,0.384,0.001135
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2026-04-11T00:00:00+00:00,2237.170000,2026-04-20T20:00:00+00:00,2313.850000,0.035275,0.034075,0.001200,60,time_stop,-0.474,0.367,0.001200
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2026-04-24T00:00:00+00:00,2308.640000,2026-05-03T20:00:00+00:00,2322.650000,0.007789,0.005869,0.001921,60,time_stop,-0.800,0.717,0.001921
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2026-05-05T16:00:00+00:00,2371.940000,2026-05-08T00:00:00+00:00,2278.760000,-0.038437,-0.039484,0.001048,15,hard_stop,-1.501,0.467,0.001048
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2026-06-06T00:00:00+00:00,1563.340000,2026-06-15T20:00:00+00:00,1796.130000,0.150331,0.148706,0.001626,60,time_stop,-1.222,0.429,0.001626
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2026-06-24T00:00:00+00:00,1666.670000,2026-06-25T16:00:00+00:00,1559.420000,-0.064702,-0.064550,-0.000152,11,hard_stop,-0.230,0.226,-0.000152
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2026-06-26T00:00:00+00:00,1557.930000,2026-07-05T20:00:00+00:00,1785.650000,0.143796,0.145968,-0.002172,60,time_stop,-1.530,0.341,-0.002172
