symbol,tf,er,fast,slow,lb,year,roll2y_t
SOL,4h,20,3,20,10,2024,2.796724522305874
SOL,4h,20,3,20,10,2025,0.7684202803195413
SOL,4h,20,3,20,10,2026,0.04740081361524239
SOL,4h,5,3,50,10,2020,
SOL,4h,5,3,50,10,2021,
SOL,4h,5,3,50,10,2022,2.418211047598717
SOL,4h,5,3,50,10,2023,1.6655286959594544
SOL,4h,5,3,50,10,2024,2.982551372601978
SOL,4h,5,3,50,10,2025,0.9918325716138753
SOL,4h,5,3,50,10,2026,0.21652757737980724
SOL,1d,10,2,50,3,2020,
SOL,1d,10,2,50,3,2021,
SOL,1d,10,2,50,3,2022,2.924245732516694
SOL,1d,10,2,50,3,2023,1.6857710231074392
SOL,1d,10,2,50,3,2024,2.4322208300616204
SOL,1d,10,2,50,3,2025,0.32632210204197143
SOL,1d,10,2,50,3,2026,-0.12144159429672627
SOL,1d,20,2,20,10,2020,
SOL,1d,20,2,20,10,2021,
SOL,1d,20,2,20,10,2022,2.4064748446075654
SOL,1d,20,2,20,10,2023,1.0238183579546953
SOL,1d,20,2,20,10,2024,3.1680897267684123
SOL,1d,20,2,20,10,2025,1.1718704994693052
SOL,1d,20,2,20,10,2026,-0.2513275100245052
SOL,1d,10,2,30,3,2020,
SOL,1d,10,2,30,3,2021,
SOL,1d,10,2,30,3,2022,2.776106289493607
SOL,1d,10,2,30,3,2023,1.5601521074009768
SOL,1d,10,2,30,3,2024,2.4723735623734884
SOL,1d,10,2,30,3,2025,0.3965601067752553
SOL,1d,10,2,30,3,2026,-0.13145535320148735
SOL,1d,5,3,50,1,2020,
SOL,1d,5,3,50,1,2021,
SOL,1d,5,3,50,1,2022,2.937494200361604
SOL,1d,5,3,50,1,2023,2.051349267054846
SOL,1d,5,3,50,1,2024,2.3369833978129857
SOL,1d,5,3,50,1,2025,0.08025828022849697
SOL,1d,5,3,50,1,2026,-0.29906781201403665
SOL,1d,5,2,20,3,2020,
SOL,1d,5,2,20,3,2021,
SOL,1d,5,2,20,3,2022,2.4899821038445302
SOL,1d,5,2,20,3,2023,1.8811897411474192
SOL,1d,5,2,20,3,2024,2.870481016357962
SOL,1d,5,2,20,3,2025,0.7829749707341181
SOL,1d,5,2,20,3,2026,0.1094628950864469
