symbol,tf,er,fast,slow,lb,t,ann_ret,n_bars,n_rt
BTC,4h,20,3,20,10,2.038606257134865,0.00010435837768363321,15067,234
BTC,4h,20,3,30,1,1.6810770156501953,7.96161341296564e-05,15067,573
BTC,4h,20,3,30,3,2.33072043105334,0.00012372372910762763,15067,349
BTC,4h,20,3,30,5,2.208466153340228,0.00011574124221658266,15067,295
BTC,4h,20,3,30,10,2.092793435091725,0.00010807119322908676,15067,209
BTC,4h,20,3,50,1,1.7947631562337067,8.691944861505263e-05,15067,532
BTC,4h,20,3,50,3,2.2353891243736945,0.00011676733839349751,15067,333
BTC,4h,20,3,50,5,2.3070421298797923,0.00012149551583795493,15067,269
BTC,4h,20,3,50,10,2.1795777998983334,0.0001133284506946719,15067,192
BTC,1d,5,2,20,1,1.88954249964712,0.0005706381744114974,2511,239
BTC,1d,5,2,20,3,1.8245264687280245,0.0005462708055239407,2511,143
BTC,1d,5,2,20,5,1.8020256723589985,0.0005384511945774051,2511,113
BTC,1d,5,2,20,10,2.468715170573929,0.0008337964914595375,2511,77
BTC,1d,5,2,30,1,1.8630990687247257,0.0005618045819710815,2511,232
BTC,1d,5,2,30,3,1.8439670877961662,0.0005544360743447996,2511,142
BTC,1d,5,2,30,5,1.9013726945564022,0.0005806820384151035,2511,112
BTC,1d,5,2,30,10,2.6220825982695475,0.0008990176099470393,2511,75
BTC,1d,5,2,50,1,2.0328382502520106,0.0006328681042901962,2511,223
BTC,1d,5,2,50,3,1.8798236062305915,0.0005712976211158516,2511,140
BTC,1d,5,2,50,5,1.9799410687092673,0.0006133494877242907,2511,113
BTC,1d,5,2,50,10,2.785937825614359,0.0009657100061608581,2511,76
BTC,1d,5,3,20,1,2.284331520525874,0.0007351370110424416,2511,167
BTC,1d,5,3,20,3,1.9408405694373143,0.0005911824447213387,2511,103
BTC,1d,5,3,20,5,1.4341800290484985,0.00038343470951973657,2511,92
BTC,1d,5,3,20,10,2.649619459725277,0.0009043738587102279,2511,55
BTC,1d,5,3,30,1,2.3399321049826085,0.0007564096398031683,2511,160
BTC,1d,5,3,30,3,1.9320815831066953,0.0005904500102111854,2511,101
BTC,1d,5,3,30,5,1.5927913643747795,0.0004514950311478305,2511,86
BTC,1d,5,3,30,10,2.49937658741389,0.0008374938784116992,2511,56
BTC,1d,5,3,50,1,2.397103686612131,0.0007853497900203177,2511,152
BTC,1d,5,3,50,3,1.935309103748276,0.0005914998381428838,2511,97
BTC,1d,5,3,50,5,1.6277727805591269,0.00046583875444783374,2511,85
BTC,1d,5,3,50,10,2.346471871336467,0.0007720116460612214,2511,55
BTC,1d,10,2,20,1,1.7428726470602538,0.0005053191194408502,2511,186
BTC,1d,10,2,20,3,1.7094806008086576,0.0004986346616884241,2511,106
