symbol,tf,er,fast,slow,lb,year,t,mean
ETH,1d,10,3,30,1,2023,0.9240080472287375,0.0010087364943856493
ETH,1d,10,3,30,1,2024,0.9608139903701005,0.0010296077608245027
ETH,1d,10,3,30,1,2025,0.1419534387284845,0.00016863408966066127
ETH,1d,10,3,30,1,2026,-0.1781580752902224,-0.00019433849601167873
ETH,1d,10,3,30,1,20242026,0.6371135403747854,0.0004257996704118751
ETH,1d,20,2,30,1,2019,-0.266072028856278,-0.0007076314767873488
ETH,1d,20,2,30,1,2020,2.535789366496919,0.004688882389341535
ETH,1d,20,2,30,1,2021,2.069818199432931,0.004405123083848644
ETH,1d,20,2,30,1,2022,0.46761285530171115,0.0005925201896676383
ETH,1d,20,2,30,1,2023,0.2814916538311217,0.00028768911977462353
ETH,1d,20,2,30,1,2024,1.5201152084137766,0.0015925149822394718
ETH,1d,20,2,30,1,2025,0.7526464764385524,0.000967595645543129
ETH,1d,20,2,30,1,2026,-0.3368381023823733,-0.00041066651476548085
ETH,1d,20,2,30,1,20242026,1.3000345615379998,0.0009100921566196211
ETH,1d,10,3,30,3,2019,,0.0
ETH,1d,10,3,30,3,2020,2.6004715615920686,0.005022561279824343
ETH,1d,10,3,30,3,2021,2.370048592455914,0.00529060428315232
ETH,1d,10,3,30,3,2022,-0.7745429263225468,-0.0010162351792213666
ETH,1d,10,3,30,3,2023,1.1117770231101791,0.0012055441817470354
ETH,1d,10,3,30,3,2024,1.0278868266582653,0.0011116646534581505
ETH,1d,10,3,30,3,2025,1.1679581190315373,0.0015683705253175097
ETH,1d,10,3,30,3,2026,-0.9206636120525209,-0.0009421229347627339
ETH,1d,10,3,30,3,20242026,1.1839320147238803,0.000839945836837835
ETH,1d,10,3,50,1,2019,-1.4063927006109593,-0.0009782732292023687
ETH,1d,10,3,50,1,2020,2.6975069846625743,0.005063254264998615
ETH,1d,10,3,50,1,2021,2.098702923534253,0.004702081430093814
ETH,1d,10,3,50,1,2022,-0.14718819812470776,-0.00018368295556660515
ETH,1d,10,3,50,1,2023,1.1715066621034869,0.001297434248463602
ETH,1d,10,3,50,1,2024,0.8029126813002847,0.0008704620512155609
ETH,1d,10,3,50,1,2025,0.613791365139862,0.0007363663526060456
ETH,1d,10,3,50,1,2026,-0.145349088435298,-0.00013649477365259045
ETH,1d,10,3,50,1,20242026,0.9007372028697006,0.0005976297017599582
ETH,1d,20,3,20,1,2019,-0.266072028856278,-0.0007076314767873488
ETH,1d,20,3,20,1,2020,2.880931725659299,0.0054385885047547235
ETH,1d,20,3,20,1,2021,2.2060795934163564,0.004921757823427718
ETH,1d,20,3,20,1,2022,-0.3521326233309454,-0.000444864268921273
ETH,1d,20,3,20,1,2023,0.6690734491183524,0.0007148028093762653
ETH,1d,20,3,20,1,2024,1.3382402166164853,0.0014303365443713995
ETH,1d,20,3,20,1,2025,0.4804645584738671,0.0005671007615834644
ETH,1d,20,3,20,1,2026,-0.6220292128465384,-0.0006679616299286759
ETH,1d,20,3,20,1,20242026,0.9542336349056731,0.0006341483109855964
SOL,1h,20,3,50,10,2020,-0.7503668818157175,-0.00016505668728654637
SOL,1h,20,3,50,10,2021,2.840251840554942,0.0004339099200399254
SOL,1h,20,3,50,10,2022,-1.3668844943137954,-0.0001096801281222701
SOL,1h,20,3,50,10,2023,2.6093605236443396,0.00022668987557020157
SOL,1h,20,3,50,10,2024,1.4341432504793281,0.00010168028552813884
SOL,1h,20,3,50,10,2025,0.1477283676363586,9.929593319800252e-06
SOL,1h,20,3,50,10,2026,-0.4494461695410382,-2.77691310287557e-05
SOL,1h,20,3,50,10,20242026,0.9275858080758556,3.754980150013995e-05
SOL,1h,10,3,50,10,2020,-0.82348148336207,-0.00018065055013860196
SOL,1h,10,3,50,10,2021,3.0470233621313825,0.0004594427155626004
SOL,1h,10,3,50,10,2022,-1.4614161076100631,-0.0001196723397302469
SOL,1h,10,3,50,10,2023,2.5173222418708887,0.0002160417115091523
SOL,1h,10,3,50,10,2024,1.671718312885423,0.00012078439449558027
SOL,1h,10,3,50,10,2025,-0.30008884210307246,-2.0046582247611115e-05
SOL,1h,10,3,50,10,2026,-0.42747047236460595,-2.6733665445611747e-05
SOL,1h,10,3,50,10,20242026,0.8225215936747408,3.355735518018581e-05
SOL,1h,15,2,20,10,2020,-0.8642374650815143,-0.00019654384866423102
SOL,1h,15,2,20,10,2021,2.6834986825493123,0.00039490699589683276
SOL,1h,15,2,20,10,2022,-0.2722847441496988,-2.43535440969299e-05
SOL,1h,15,2,20,10,2023,2.604734559454231,0.00021782145283565714
SOL,1h,15,2,20,10,2024,1.1752718913609583,8.395526213623223e-05
