variant,symbol,direction,entry_ts,entry_price,exit_ts,exit_price,pnl_pct,bars_held,exit_reason,kama_turn_at_entry,poc_distance_atr_at_entry
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,short,2025-04-30 22:29:00+00:00,146.99,2025-04-30 22:35:00+00:00,146.72,0.0008368596503164358,6,take_profit,-1,0.1567164179105039
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,long,2025-05-01 13:37:00+00:00,151.62,2025-05-01 13:39:00+00:00,151.31,-0.0030445851470782817,2,hard_stop,1,0.06284530386745699
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,short,2025-05-01 17:26:00+00:00,151.84,2025-05-01 17:37:00+00:00,151.37,0.0020953635405690516,11,take_profit,-1,0.34801136363642576
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,short,2025-05-02 04:10:00+00:00,150.62,2025-05-02 04:14:00+00:00,150.36,0.0007261983800291869,4,take_profit,-1,0.4454545454545101
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,long,2025-05-02 11:39:00+00:00,150.48,2025-05-02 11:46:00+00:00,150.31,-0.002129718234981314,7,hard_stop,1,0.24334319526640028
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,long,2025-05-02 12:30:00+00:00,150.42,2025-05-02 12:33:00+00:00,149.71,-0.005720117005717173,3,hard_stop,1,0.4868677042802614
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,long,2025-05-02 13:43:00+00:00,150.41,2025-05-02 14:01:00+00:00,150.73,0.0011275181171465096,18,take_profit,1,0.43476562500003746
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,long,2025-05-02 15:12:00+00:00,150.49,2025-05-02 15:20:00+00:00,150.2,-0.0029270383414181636,8,hard_stop,1,0.09618794326239659
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,short,2025-05-03 08:02:00+00:00,147.89,2025-05-03 08:07:00+00:00,147.66,0.0005552099533436836,5,take_profit,-1,0.08750000000007077
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,long,2025-05-03 08:59:00+00:00,147.85,2025-05-03 09:03:00+00:00,147.72,-0.0018792695299290054,4,hard_stop,1,0.49038461538440514
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,short,2025-05-03 13:10:00+00:00,148.11,2025-05-03 13:17:00+00:00,148.23,-0.0018102086287218313,7,hard_stop,-1,0.574754901960865
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,short,2025-05-03 13:32:00+00:00,148.06,2025-05-03 13:40:00+00:00,148.19,-0.0018780224233417844,8,hard_stop,-1,0.04890219560873666
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,short,2025-05-03 16:14:00+00:00,148.0,2025-05-03 16:16:00+00:00,148.11,-0.0017432432432432634,2,hard_stop,-1,0.43333333333352353
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,short,2025-05-03 16:30:00+00:00,147.94,2025-05-03 16:34:00+00:00,147.76,0.00021670947681495887,4,take_profit,-1,0.5242616033755407
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,short,2025-05-04 01:59:00+00:00,146.98,2025-05-04 02:03:00+00:00,147.19,-0.002428765818478839,4,hard_stop,-1,0.4823717948717112
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,short,2025-05-04 12:19:00+00:00,145.64,2025-05-04 12:26:00+00:00,145.51,-0.00010738808019783355,7,take_profit,-1,0.30423850574668654
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,long,2025-05-04 13:03:00+00:00,145.6,2025-05-04 13:13:00+00:00,145.48,-0.0018241758241758213,10,hard_stop,1,0.13992117117144817
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,long,2025-05-04 14:03:00+00:00,145.59,2025-05-04 14:07:00+00:00,145.78,0.0003050346864482698,4,take_profit,1,0.2570987654323027
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,short,2025-05-04 17:13:00+00:00,147.05,2025-05-04 17:16:00+00:00,146.83,0.000496089765385955,3,take_profit,-1,0.5950670498084467
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,long,2025-05-05 03:43:00+00:00,145.2,2025-05-05 03:45:00+00:00,145.04,-0.002101928374655614,2,hard_stop,1,0.2257532956686841
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,long,2025-05-05 04:04:00+00:00,145.18,2025-05-05 04:08:00+00:00,144.98,-0.0023776002204161087,4,hard_stop,1,0.4021203155818488
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,short,2025-05-05 06:21:00+00:00,146.68,2025-05-05 06:26:00+00:00,146.84,-0.0020908099263702287,5,hard_stop,-1,0.015718562874118186
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,short,2025-05-05 06:41:00+00:00,146.71,2025-05-05 07:02:00+00:00,146.5,0.0004313952695794718,21,take_profit,-1,0.27210365853646146
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,long,2025-05-05 15:14:00+00:00,144.34,2025-05-05 15:15:00+00:00,144.06,-0.0029398642095053154,1,hard_stop,1,0.33316864295118065
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,short,2025-05-05 15:24:00+00:00,144.48,2025-05-05 15:30:00+00:00,144.66,-0.002245847176079673,6,hard_stop,-1,0.4713431786216441
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,long,2025-05-06 04:07:00+00:00,144.43,2025-05-06 04:09:00+00:00,144.28,-0.002038565395001023,2,hard_stop,1,0.14365671641778247
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,short,2025-05-06 05:45:00+00:00,144.47,2025-05-06 05:52:00+00:00,144.32,3.8277843150914294e-05,7,take_profit,-1,0.23557692307696357
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,long,2025-05-06 08:45:00+00:00,144.4,2025-05-06 08:53:00+00:00,144.56,0.00010803324099717491,8,take_profit,1,0.38522012578606263
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,long,2025-05-06 09:05:00+00:00,144.41,2025-05-06 09:07:00+00:00,144.29,-0.0018309673845301458,2,hard_stop,1,0.31499999999996686
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,short,2025-05-06 16:20:00+00:00,143.06,2025-05-06 16:32:00+00:00,143.27,-0.0024679155599048866,12,hard_stop,-1,0.4855812897366359
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,long,2025-05-06 21:39:00+00:00,144.09,2025-05-06 21:46:00+00:00,144.33,0.0006656256506351052,7,take_profit,1,0.5468750000001045
