variant,symbol,direction,entry_ts,entry_price,exit_ts,exit_price,gross_pnl_pct,cost_pct,net_pnl_pct,bars_held,exit_reason,funding_ema_at_entry,half_at_entry,slope_4h_at_entry
vpvr_funding_carry_asym_v2_20260718,BTCUSDT,long,2024-02-20 00:39:00+00:00,51738.5,2024-02-20 00:40:00+00:00,51676.1,-0.0012060651159194746,0.001,-0.0022060651159194746,1,hard_stop,0.0001325394612195859,lower,35.66102885021246
vpvr_funding_carry_asym_v2_20260718,BTCUSDT,long,2024-02-20 00:45:00+00:00,51676.6,2024-02-20 00:50:00+00:00,51763.5,0.0016816121803679973,0.001,0.0006816121803679973,5,take_profit,0.0001325394612195859,lower,35.66102885021246
vpvr_funding_carry_asym_v2_20260718,BTCUSDT,long,2024-02-20 00:55:00+00:00,51733.1,2024-02-20 00:58:00+00:00,51671.9,-0.0011829950263950728,0.001,-0.002182995026395073,3,hard_stop,0.0001325394612195859,lower,35.66102885021246
vpvr_funding_carry_asym_v2_20260718,BTCUSDT,long,2024-02-20 01:03:00+00:00,51678.9,2024-02-20 01:05:00+00:00,51737.6,0.0011358600899011861,0.001,0.00013586008990118612,2,take_profit,0.0001325394612195859,lower,35.66102885021246
vpvr_funding_carry_asym_v2_20260718,BTCUSDT,long,2024-02-20 01:10:00+00:00,51702.1,2024-02-20 01:15:00+00:00,51659.3,-0.0008278193729074346,0.001,-0.0018278193729074346,5,hard_stop,0.0001325394612195859,lower,35.66102885021246
vpvr_funding_carry_asym_v2_20260718,BTCUSDT,long,2024-02-20 01:20:00+00:00,51546.8,2024-02-20 01:21:00+00:00,51508.1,-0.0007507740538695851,0.001,-0.001750774053869585,1,hard_stop,0.0001325394612195859,lower,35.66102885021246
vpvr_funding_carry_asym_v2_20260718,BTCUSDT,long,2024-02-20 01:26:00+00:00,51400.0,2024-02-20 01:28:00+00:00,51503.5,0.00201361867704275,0.001,0.00101361867704275,2,take_profit,0.0001325394612195859,lower,35.66102885021246
vpvr_funding_carry_asym_v2_20260718,BTCUSDT,long,2024-02-20 01:33:00+00:00,51456.0,2024-02-20 01:41:00+00:00,51566.1,0.0021396921641789746,0.001,0.0011396921641789745,8,take_profit,0.0001325394612195859,lower,35.66102885021246
vpvr_funding_carry_asym_v2_20260718,BTCUSDT,long,2024-02-20 01:46:00+00:00,51650.1,2024-02-20 01:48:00+00:00,51606.1,-0.0008518860563677677,0.001,-0.0018518860563677677,2,hard_stop,0.0001325394612195859,lower,35.66102885021246
vpvr_funding_carry_asym_v2_20260718,BTCUSDT,long,2024-02-20 01:53:00+00:00,51606.0,2024-02-20 01:56:00+00:00,51663.2,0.0011083982482655852,0.001,0.00010839824826558517,3,take_profit,0.0001325394612195859,lower,35.66102885021246
