symbol,direction,entry_signal_date,entry_fill_date,entry_price,exit_signal_date,exit_fill_date,exit_price,reason,pnl_usd,pnl_pct,bars_held,session_at_entry,poc_distance_atr_at_entry,size_units,nav_at_entry
ETHUSDT,long,2024-07-22 21:45:00,2024-07-22 21:45:00,3460.43,2024-07-23 05:15:00,2024-07-23 05:15:00,3434.39,hard_stop,-87.2508,-0.008725,30,us,0.5882,1.0,100000.0
ETHUSDT,short,2024-07-23 11:15:00,2024-07-23 11:15:00,3504.15,2024-07-23 13:45:00,2024-07-23 13:45:00,3438.57,take_profit,175.1495,0.017515,10,london,0.0394,1.0,100000.0
ETHUSDT,short,2024-07-23 15:45:00,2024-07-23 15:45:00,3452.96,2024-07-23 19:15:00,2024-07-23 19:15:00,3494.04,hard_stop,-130.9704,-0.013097,14,london,0.0246,1.0,100000.0
ETHUSDT,short,2024-07-23 21:45:00,2024-07-23 21:45:00,3465.19,2024-07-24 05:00:00,2024-07-24 05:00:00,3435.405,take_profit,73.9549,0.007395,29,us,0.4705,1.0,100000.0
ETHUSDT,short,2024-07-24 08:30:00,2024-07-24 08:30:00,3454.56,2024-07-24 10:45:00,2024-07-24 10:45:00,3468.35,hard_stop,-51.9183,-0.005192,9,london,0.1917,1.0,100000.0
ETHUSDT,long,2024-07-24 14:15:00,2024-07-24 14:15:00,3446.09,2024-07-24 15:15:00,2024-07-24 15:15:00,3419.0,hard_stop,-90.6108,-0.009061,4,london,0.0004,1.0,100000.0
ETHUSDT,long,2024-07-24 22:15:00,2024-07-24 22:15:00,3330.23,2024-07-25 01:00:00,2024-07-25 01:00:00,3270.97,hard_stop,-189.9457,-0.018995,11,us,0.0902,1.0,100000.0
ETHUSDT,long,2024-07-25 09:00:00,2024-07-25 09:00:00,3179.34,2024-07-25 10:15:00,2024-07-25 10:15:00,3157.74,hard_stop,-79.9386,-0.007994,5,london,0.0449,1.0,100000.0
ETHUSDT,long,2024-07-25 12:15:00,2024-07-25 12:15:00,3167.24,2024-07-25 18:30:00,2024-07-25 18:30:00,3129.115,hard_stop,-132.3729,-0.013237,25,london,0.5993,1.0,100000.0
ETHUSDT,long,2024-07-25 20:45:00,2024-07-25 20:45:00,3153.61,2024-07-26 00:30:00,2024-07-26 00:30:00,3185.135,take_profit,87.9648,0.008796,15,us,0.4456,1.0,100000.0
ETHUSDT,long,2024-07-26 13:30:00,2024-07-26 13:30:00,3244.255,2024-07-26 19:15:00,2024-07-26 19:15:00,3268.95,take_profit,64.1192,0.006412,23,london,0.0609,1.0,100000.0
ETHUSDT,short,2024-07-27 15:30:00,2024-07-27 15:30:00,3283.315,2024-07-27 18:45:00,2024-07-27 18:45:00,3247.76,take_profit,96.2899,0.009629,13,london,0.4659,1.0,100000.0
ETHUSDT,long,2024-07-27 21:00:00,2024-07-27 21:00:00,3264.49,2024-07-28 00:45:00,2024-07-28 00:45:00,3245.15,hard_stop,-71.2436,-0.007124,15,us,0.1503,1.0,100000.0
ETHUSDT,long,2024-07-28 10:00:00,2024-07-28 10:00:00,3240.72,2024-07-28 11:15:00,2024-07-28 11:15:00,3258.73,take_profit,43.5741,0.004357,5,london,0.2371,1.0,100000.0
ETHUSDT,long,2024-07-28 20:15:00,2024-07-28 20:15:00,3265.3,2024-07-29 00:15:00,2024-07-29 00:15:00,3294.97,take_profit,78.8645,0.007886,16,us,0.0166,1.0,100000.0
ETHUSDT,short,2024-07-29 13:45:00,2024-07-29 13:45:00,3347.29,2024-07-29 15:15:00,2024-07-29 15:15:00,3304.45,take_profit,115.9841,0.011598,6,london,0.1195,1.0,100000.0
ETHUSDT,long,2024-07-29 21:45:00,2024-07-29 21:45:00,3344.99,2024-07-29 22:45:00,2024-07-29 22:45:00,3328.01,hard_stop,-62.7625,-0.006276,4,us,0.0618,1.0,100000.0
ETHUSDT,short,2024-07-30 13:45:00,2024-07-30 13:45:00,3328.75,2024-07-30 17:30:00,2024-07-30 17:30:00,3294.285,take_profit,91.5374,0.009154,15,london,0.2467,1.0,100000.0
ETHUSDT,long,2024-07-31 08:00:00,2024-07-31 08:00:00,3318.595,2024-07-31 16:00:00,2024-07-31 16:00:00,3301.745,time_stop,-62.7745,-0.006277,32,london,0.0753,1.0,100000.0
ETHUSDT,long,2024-07-31 18:00:00,2024-07-31 18:00:00,3301.965,2024-07-31 19:45:00,2024-07-31 19:45:00,3265.02,hard_stop,-123.8879,-0.012389,7,us,0.0305,1.0,100000.0
ETHUSDT,short,2024-08-01 12:00:00,2024-08-01 12:00:00,3190.94,2024-08-01 14:15:00,2024-08-01 14:15:00,3163.46,take_profit,74.1188,0.007412,9,london,0.2279,1.0,100000.0
ETHUSDT,long,2024-08-01 17:15:00,2024-08-01 17:15:00,3098.37,2024-08-01 20:30:00,2024-08-01 20:30:00,3147.49,take_profit,146.535,0.014653,13,us,0.1563,1.0,100000.0
